醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2775,1644,2020/02/27 10:01:08
0291010010,324,620,2020/02/27 10:01:08
2101010013,264,1055,2020/02/27 10:01:08
2101020019,280,828,2020/02/27 10:01:08
2101090011,46,632,2020/02/27 10:01:08
2101100227,137,775,2020/02/27 10:01:08
2101110027,138,531,2020/02/27 10:01:08
2101120014,177,910,2020/02/27 10:01:08
2101150012,148,859,2020/02/27 10:01:08
2101161033,186,938,2020/02/27 10:01:08
2101170050,138,960,2020/02/27 10:01:08
2101180038,80,904,2020/02/27 10:01:08
2101191068,90,832,2020/02/27 10:01:08
2101200017,140,976,2020/02/27 10:01:08
2303240013,1324,946,2020/02/27 10:01:08
2311010010,835,1179,2020/02/27 10:01:08
2311020016,300,1089,2020/02/27 10:01:08
2311030012,1246,1286,2020/02/27 10:01:08
2311040018,378,1234,2020/02/27 10:01:08
2311050014,1208,1262,2020/02/27 10:01:08
2311060010,0,560,2020/02/27 10:01:08
2311070016,883,1358,2020/02/27 10:01:08
2312010014,116,564,2020/02/27 10:01:08
2312041028,0,429,2020/02/27 10:01:08
2312050018,0,408,2020/02/27 10:01:08
2317020010,272,866,2020/02/27 10:01:08
2317040012,304,768,2020/02/27 10:01:08
2317050018,1036,1108,2020/02/27 10:01:08
2317060014,928,1066,2020/02/27 10:01:08
2317070010,398,770,2020/02/27 10:01:08
2317080016,1082,1092,2020/02/27 10:01:08
2317081022,616,1014,2020/02/27 10:01:08
2321010013,1826,1432,2020/02/27 10:01:08
2321020019,1080,1266,2020/02/27 10:01:08
2321030015,2202,1444,2020/02/27 10:01:08
2321040011,1916,1341,2020/02/27 10:01:08
2321060013,1208,1231,2020/02/27 10:01:08
2321070019,1152,1289,2020/02/27 10:01:08
2322010017,1889,1260,2020/02/27 10:01:08
2322020013,1182,1076,2020/02/27 10:01:08
2331070012,129,707,2020/02/27 10:01:08
2331080018,1,770,2020/02/27 10:01:08
2331090014,316,1044,2020/02/27 10:01:08
2331100015,158,937,2020/02/27 10:01:08
