醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2429,1470,2020/02/27 06:00:38
0291010010,222,548,2020/02/27 06:00:38
2101010013,41,875,2020/02/27 06:00:38
2101020019,96,680,2020/02/27 06:00:38
2101090011,0,448,2020/02/27 06:00:38
2101100227,0,615,2020/02/27 06:00:38
2101110027,1,400,2020/02/27 06:00:38
2101120014,1,798,2020/02/27 06:00:38
2101150012,0,695,2020/02/27 06:00:38
2101161033,0,787,2020/02/27 06:00:38
2101170050,0,800,2020/02/27 06:00:38
2101180038,0,744,2020/02/27 06:00:38
2101191068,0,692,2020/02/27 06:00:38
2101200017,0,800,2020/02/27 06:00:38
2303240013,1324,946,2020/02/27 06:00:38
2311010010,835,1179,2020/02/27 06:00:38
2311020016,300,1089,2020/02/27 06:00:38
2311030012,1246,1286,2020/02/27 06:00:38
2311040018,378,1234,2020/02/27 06:00:38
2311050014,1208,1262,2020/02/27 06:00:38
2311060010,0,560,2020/02/27 06:00:38
2311070016,883,1358,2020/02/27 06:00:38
2312010014,116,564,2020/02/27 06:00:38
2312041028,0,429,2020/02/27 06:00:38
2312050018,0,408,2020/02/27 06:00:38
2317020010,272,866,2020/02/27 06:00:38
2317040012,304,768,2020/02/27 06:00:38
2317050018,1036,1108,2020/02/27 06:00:38
2317060014,928,1066,2020/02/27 06:00:38
2317070010,398,770,2020/02/27 06:00:38
2317080016,1082,1092,2020/02/27 06:00:38
2317081022,616,1014,2020/02/27 06:00:38
2321010013,1432,1244,2020/02/27 06:00:38
2321020019,680,1066,2020/02/27 06:00:38
2321030015,1835,1268,2020/02/27 06:00:38
2321040011,1916,1341,2020/02/27 06:00:38
2321060013,809,1031,2020/02/27 06:00:38
2321070019,928,1109,2020/02/27 06:00:38
2322010017,1889,1260,2020/02/27 06:00:38
2322020013,1182,1076,2020/02/27 06:00:38
2331070012,6,563,2020/02/27 06:00:38
2331080018,1,666,2020/02/27 06:00:38
2331090014,316,1044,2020/02/27 06:00:38
2331100015,156,937,2020/02/27 06:00:38
2331120017,0,788,2020/02/27 06:00:38
2331160011,0,580,2020/02/27 06:00:38
2331170017,74,636,2020/02/27 06:00:38
2331180013,0,994,2020/02/27 06:00:38
2331190019,119,996,2020/02/27 06:00:38
2331200010,0,359,2020/02/27 06:00:38
2331210016,0,571,2020/02/27 06:00:38
2331220012,644,1072,2020/02/27 06:00:38
2331230018,2,720,2020/02/27 06:00:38
2331240014,398,1448,2020/02/27 06:00:38
2331250010,1094,1328,2020/02/27 06:00:38
2331260016,76,1044,2020/02/27 06:00:38
2331270012,0,958,2020/02/27 06:00:38
2331280018,218,1021,2020/02/27 06:00:38
2331290014,0,691,2020/02/27 06:00:38
2332030012,130,772,2020/02/27 06:00:38
2332040018,332,756,2020/02/27 06:00:38
2332060010,454,1004,2020/02/27 06:00:38
2332080012,99,663,2020/02/27 06:00:38
2332090018,456,780,2020/02/27 06:00:38
2332100019,354,700,2020/02/27 06:00:38
2332110015,0,555,2020/02/27 06:00:38
2332120011,844,1098,2020/02/27 06:00:38
2332130017,844,756,2020/02/27 06:00:38
2333010014,400,200,2020/02/27 06:00:38
2333070010,0,532,2020/02/27 06:00:38
2333090012,400,200,2020/02/27 06:00:38
2333100013,0,392,2020/02/27 06:00:38
2333110019,0,996,2020/02/27 06:00:38
2333120015,353,1089,2020/02/27 06:00:38
2333130011,1184,892,2020/02/27 06:00:38
2333140017,1498,974,2020/02/27 06:00:38
2334010018,656,959,2020/02/27 06:00:38
2334020014,610,1174,2020/02/27 06:00:38
2334030010,918,1100,2020/02/27 06:00:38
2334040016,844,1048,2020/02/27 06:00:38
2334050012,112,694,2020/02/27 06:00:38
2334060018,234,877,2020/02/27 06:00:38
2334070014,616,1050,2020/02/27 06:00:38
2334081026,392,960,2020/02/27 06:00:38
2334090016,508,929,2020/02/27 06:00:38
2334100017,96,858,2020/02/27 06:00:38
2334110013,988,1114,2020/02/27 06:00:38
2334120019,1285,802,2020/02/27 06:00:38
2335010012,248,932,2020/02/27 06:00:38
2335020018,190,772,2020/02/27 06:00:38
2335030014,0,206,2020/02/27 06:00:38
2335040010,251,575,2020/02/27 06:00:38
2335050016,0,128,2020/02/27 06:00:38
2335060012,164,844,2020/02/27 06:00:38
2335070018,778,996,2020/02/27 06:00:38
2335080014,400,648,2020/02/27 06:00:38
2335090010,188,522,2020/02/27 06:00:38
2335100011,0,488,2020/02/27 06:00:38
2335110017,16,614,2020/02/27 06:00:38
2335120013,296,726,2020/02/27 06:00:38
2335130019,85,876,2020/02/27 06:00:38
2335140015,690,1080,2020/02/27 06:00:38
2335150011,0,335,2020/02/27 06:00:38
2335160017,43,771,2020/02/27 06:00:38
2335170013,575,1047,2020/02/27 06:00:38
2335180019,188,797,2020/02/27 06:00:38
2336010016,331,835,2020/02/27 06:00:38
2336020012,972,1278,2020/02/27 06:00:38
2336030018,166,792,2020/02/27 06:00:38
2336040014,0,726,2020/02/27 06:00:38
2336050010,300,646,2020/02/27 06:00:38
2336060016,0,368,2020/02/27 06:00:38
2336070012,364,722,2020/02/27 06:00:38
2336080018,1,330,2020/02/27 06:00:38
2336090014,307,912,2020/02/27 06:00:38
2336100015,24,688,2020/02/27 06:00:38
2336110011,558,1014,2020/02/27 06:00:38
2336120017,384,822,2020/02/27 06:00:38
2336130013,404,980,2020/02/27 06:00:38
2336140019,552,952,2020/02/27 06:00:38
2336150015,364,1052,2020/02/27 06:00:38
2336160011,88,790,2020/02/27 06:00:38
2336170017,244,712,2020/02/27 06:00:38
2336180013,408,1002,2020/02/27 06:00:38
2336190019,782,1098,2020/02/27 06:00:38
2336200010,285,906,2020/02/27 06:00:38
2336210025,1592,1164,2020/02/27 06:00:38
2336210034,1406,1275,2020/02/27 06:00:38
2337010010,754,999,2020/02/27 06:00:38
2337010029,858,1122,2020/02/27 06:00:38
2337020016,406,708,2020/02/27 06:00:38
2337030012,84,399,2020/02/27 06:00:38
2337040018,1482,1180,2020/02/27 06:00:38
2337050014,416,832,2020/02/27 06:00:38
2337060010,1234,1084,2020/02/27 06:00:38
2337070016,1950,1282,2020/02/27 06:00:38
2337080012,1323,1013,2020/02/27 06:00:38
2337090018,624,800,2020/02/27 06:00:38
2337100019,288,816,2020/02/27 06:00:38
2337110015,372,828,2020/02/27 06:00:38
2337120020,632,1004,2020/02/27 06:00:38
2337130017,368,1014,2020/02/27 06:00:38
2337140013,1148,1242,2020/02/27 06:00:38
2337150019,270,790,2020/02/27 06:00:38
2337160015,864,1004,2020/02/27 06:00:38
2337170011,524,826,2020/02/27 06:00:38
2337180017,420,892,2020/02/27 06:00:38
2337190013,832,1034,2020/02/27 06:00:38
2337200014,2418,1528,2020/02/27 06:00:38
2337210010,760,923,2020/02/27 06:00:38
2337220016,734,984,2020/02/27 06:00:38
2337230012,2356,1382,2020/02/27 06:00:38
2337240018,1050,1168,2020/02/27 06:00:38
2337250014,1968,1348,2020/02/27 06:00:38
2337260010,1126,1248,2020/02/27 06:00:38
2338010014,0,521,2020/02/27 06:00:38
2338020010,1096,1018,2020/02/27 06:00:38
2338030016,290,734,2020/02/27 06:00:38
2338040012,2682,1446,2020/02/27 06:00:38
2338050018,220,900,2020/02/27 06:00:38
2338060014,516,960,2020/02/27 06:00:38
2338070010,181,856,2020/02/27 06:00:38
2338080016,0,600,2020/02/27 06:00:38
2338090012,790,1084,2020/02/27 06:00:38
2338100013,1548,1254,2020/02/27 06:00:38
2338110019,1664,1260,2020/02/27 06:00:38
2338120015,598,785,2020/02/27 06:00:38
2338130011,2936,1348,2020/02/27 06:00:38
2339040016,2215,1288,2020/02/27 06:00:38
2339050012,2313,1206,2020/02/27 06:00:38
2339060018,1910,1124,2020/02/27 06:00:38
2339070014,2342,1315,2020/02/27 06:00:38
2339100017,1444,1194,2020/02/27 06:00:38
2339110013,2034,1093,2020/02/27 06:00:38
2339120019,2180,1324,2020/02/27 06:00:38
2339130015,2084,1196,2020/02/27 06:00:38
2339180015,2364,1292,2020/02/27 06:00:38
2339200012,2525,1336,2020/02/27 06:00:38
2340010015,1572,1278,2020/02/27 06:00:38
2340020011,1038,1106,2020/02/27 06:00:38
2340030017,978,1122,2020/02/27 06:00:38
2340040013,1698,1272,2020/02/27 06:00:38
2340050019,2692,1472,2020/02/27 06:00:38
2340060015,518,1134,2020/02/27 06:00:38
2340070011,924,1232,2020/02/27 06:00:38
2340080017,1130,1058,2020/02/27 06:00:38
2340090013,1874,1328,2020/02/27 06:00:38
2340100014,648,1216,2020/02/27 06:00:38
2340110010,1222,1222,2020/02/27 06:00:38
2340120016,835,1080,2020/02/27 06:00:38
2340130012,1390,1134,2020/02/27 06:00:38
2340140018,1144,1105,2020/02/27 06:00:38
2340150014,1312,1230,2020/02/27 06:00:38
2340160010,1334,1130,2020/02/27 06:00:38
2340170016,994,1100,2020/02/27 06:00:38
2340180012,1273,959,2020/02/27 06:00:38
2341010019,2314,1344,2020/02/27 06:00:38
2341020015,1262,1200,2020/02/27 06:00:38
2341030011,2412,1326,2020/02/27 06:00:38
2341040017,1698,1262,2020/02/27 06:00:38
2341050013,2489,1390,2020/02/27 06:00:38
2341060019,1222,1240,2020/02/27 06:00:38
2341070015,1182,990,2020/02/27 06:00:38
2341080011,2290,1325,2020/02/27 06:00:38
2341090017,2404,1376,2020/02/27 06:00:38
2341100018,2472,1355,2020/02/27 06:00:38
2341110014,2260,1386,2020/02/27 06:00:38
2341120010,2738,1480,2020/02/27 06:00:38
2341130016,2894,1538,2020/02/27 06:00:38
2341140012,2186,1300,2020/02/27 06:00:38
2341150018,2448,1300,2020/02/27 06:00:38
2341160014,1789,1277,2020/02/27 06:00:38
2341170010,2028,1272,2020/02/27 06:00:38
2341180016,1782,1266,2020/02/27 06:00:38
2341190012,2242,1282,2020/02/27 06:00:38
2341200013,1358,1288,2020/02/27 06:00:38
2341210019,456,678,2020/02/27 06:00:38
2341220015,2122,1414,2020/02/27 06:00:38
2341230011,2443,1448,2020/02/27 06:00:38
2341240017,2116,1287,2020/02/27 06:00:38
2341250013,1088,1278,2020/02/27 06:00:38
2341260019,3088,1490,2020/02/27 06:00:38
2341270015,1849,1302,2020/02/27 06:00:38
2341280011,1288,1272,2020/02/27 06:00:38
2341290017,1044,1200,2020/02/27 06:00:38
2341300018,788,1546,2020/02/27 06:00:38
2341310014,938,910,2020/02/27 06:00:38
2342010013,858,1038,2020/02/27 06:00:38
2342020019,426,1010,2020/02/27 06:00:38
