醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,570,281,2020/02/13 14:00:34
0291010010,0,66,2020/02/13 14:00:34
2331190019,200,50,2020/02/13 14:00:34
2331240014,0,258,2020/02/13 14:00:34
2331260016,0,138,2020/02/13 14:00:34
2331290014,0,58,2020/02/13 14:00:34
2333070010,0,78,2020/02/13 14:00:34
2333120015,5,184,2020/02/13 14:00:34
2333140017,329,126,2020/02/13 14:00:34
2334110013,68,186,2020/02/13 14:00:34
2335110017,6,98,2020/02/13 14:00:34
2335150011,0,12,2020/02/13 14:00:34
2335170013,2,136,2020/02/13 14:00:34
2335180019,0,166,2020/02/13 14:00:34
2336210034,126,112,2020/02/13 14:00:34
2338070010,188,154,2020/02/13 14:00:34
2338120015,2,108,2020/02/13 14:00:34
2340170016,0,110,2020/02/13 14:00:34
2341140012,400,100,2020/02/13 14:00:34
2341250013,62,242,2020/02/13 14:00:34
2341300018,28,270,2020/02/13 14:00:34
2342130010,0,252,2020/02/13 14:00:34
2342180010,2,52,2020/02/13 14:00:34
2342250017,906,282,2020/02/13 14:00:34
2342260013,1000,316,2020/02/13 14:00:34
2342270019,684,164,2020/02/13 14:00:34
2343240015,14,128,2020/02/13 14:00:34
2343260017,1028,314,2020/02/13 14:00:34
2343270013,1455,401,2020/02/13 14:00:34
2343280019,26,140,2020/02/13 14:00:34
2343290015,1056,306,2020/02/13 14:00:34
2343300016,1084,330,2020/02/13 14:00:34
2343320018,1064,318,2020/02/13 14:00:34
2343330014,824,260,2020/02/13 14:00:34
2344011036,164,226,2020/02/13 14:00:34
2344030013,20,134,2020/02/13 14:00:34
2344030022,728,278,2020/02/13 14:00:34
2344030031,754,288,2020/02/13 14:00:34
2344050015,344,338,2020/02/13 14:00:34
2344050024,988,354,2020/02/13 14:00:34
2344060011,0,222,2020/02/13 14:00:34
2345100014,0,152,2020/02/13 14:00:34
2345110010,4,0,2020/02/13 14:00:34
2345120016,249,237,2020/02/13 14:00:34
2345130012,233,171,2020/02/13 14:00:34
2346050013,102,104,2020/02/13 14:00:34
2346070015,0,134,2020/02/13 14:00:34
2346110014,312,245,2020/02/13 14:00:34
2346120010,609,228,2020/02/13 14:00:34
2346130016,0,102,2020/02/13 14:00:34
2346140012,934,318,2020/02/13 14:00:34
2346150018,825,242,2020/02/13 14:00:34
2346160014,1036,334,2020/02/13 14:00:34
2390040518,0,52,2020/02/13 14:00:34
2390050032,0,80,2020/02/13 14:00:34
2391020010,306,192,2020/02/13 14:00:34
2391030016,1441,404,2020/02/13 14:00:34
2391030026,1245,372,2020/02/13 14:00:34
2391040012,950,352,2020/02/13 14:00:34
5901010058,0,116,2020/02/13 14:00:34
5901010076,1,1,2020/02/13 14:00:34
5901010085,0,30,2020/02/13 14:00:34
5901010094,20,86,2020/02/13 14:00:34
5901010165,0,116,2020/02/13 14:00:34
5901010174,160,66,2020/02/13 14:00:34
5901010192,0,50,2020/02/13 14:00:34
5901010272,6,132,2020/02/13 14:00:34
5901010290,0,86,2020/02/13 14:00:34
5901010496,0,82,2020/02/13 14:00:34
5901010576,0,54,2020/02/13 14:00:34
5901011662,0,200,2020/02/13 14:00:34
5901011699,8,110,2020/02/13 14:00:34
5901011733,0,164,2020/02/13 14:00:34
5901011751,4,0,2020/02/13 14:00:34
5901011760,0,162,2020/02/13 14:00:34
5901011975,6,28,2020/02/13 14:00:34
5901012203,0,48,2020/02/13 14:00:34
5901012383,0,160,2020/02/13 14:00:34
5901012409,198,74,2020/02/13 14:00:34
5901012454,0,98,2020/02/13 14:00:34
5901012490,0,81,2020/02/13 14:00:34
5901012507,0,48,2020/02/13 14:00:34
5901012516,200,91,2020/02/13 14:00:34
5901012561,0,104,2020/02/13 14:00:34
5901012570,0,39,2020/02/13 14:00:34
5901012598,92,41,2020/02/13 14:00:34
5901012632,199,70,2020/02/13 14:00:34
5901012650,200,134,2020/02/13 14:00:34
5901012669,238,240,2020/02/13 14:00:34
5901012712,4,6,2020/02/13 14:00:34
5901012749,0,96,2020/02/13 14:00:34
5901012758,0,52,2020/02/13 14:00:34
5901012767,0,10,2020/02/13 14:00:34
5901012918,0,22,2020/02/13 14:00:34
5901012963,0,10,2020/02/13 14:00:34
5901013004,56,152,2020/02/13 14:00:34
5901013095,214,281,2020/02/13 14:00:34
5901013120,10,83,2020/02/13 14:00:34
5901013139,0,53,2020/02/13 14:00:34
5901013148,0,10,2020/02/13 14:00:34
5901013157,200,50,2020/02/13 14:00:34
5901013200,0,49,2020/02/13 14:00:34
5901013246,0,70,2020/02/13 14:00:34
5901013264,200,214,2020/02/13 14:00:34
5901013308,182,58,2020/02/13 14:00:34
5901013326,200,62,2020/02/13 14:00:34
5901013344,0,86,2020/02/13 14:00:34
5901013362,4,68,2020/02/13 14:00:34
5901013371,32,210,2020/02/13 14:00:34
5901013380,3,106,2020/02/13 14:00:34
5901013399,102,84,2020/02/13 14:00:34
5901013406,0,112,2020/02/13 14:00:34
5901013433,0,46,2020/02/13 14:00:34
5901013442,0,198,2020/02/13 14:00:34
5901013451,0,182,2020/02/13 14:00:34
5901013460,0,64,2020/02/13 14:00:34
5901013488,206,218,2020/02/13 14:00:34
5901013497,36,110,2020/02/13 14:00:34
5901013504,0,14,2020/02/13 14:00:34
5901013513,200,76,2020/02/13 14:00:34
5901013522,0,90,2020/02/13 14:00:34
5901020296,0,166,2020/02/13 14:00:34
5901020303,4,120,2020/02/13 14:00:34
5901020376,200,125,2020/02/13 14:00:34
5901020385,0,90,2020/02/13 14:00:34
5901020465,200,98,2020/02/13 14:00:34
5901020554,0,48,2020/02/13 14:00:34
5901020563,0,36,2020/02/13 14:00:34
5901020590,0,124,2020/02/13 14:00:34
5901020616,0,118,2020/02/13 14:00:34
5901020634,5,107,2020/02/13 14:00:34
5901020652,0,66,2020/02/13 14:00:34
5901020661,0,24,2020/02/13 14:00:34
5901020670,0,225,2020/02/13 14:00:34
5901020689,204,200,2020/02/13 14:00:34
5901020698,0,80,2020/02/13 14:00:34
5901020732,6,106,2020/02/13 14:00:34
5901020787,0,39,2020/02/13 14:00:34
5901020858,0,52,2020/02/13 14:00:34
5901020876,0,86,2020/02/13 14:00:34
5901020901,14,202,2020/02/13 14:00:34
5901021248,0,2,2020/02/13 14:00:34
5901021346,0,92,2020/02/13 14:00:34
5901021382,0,18,2020/02/13 14:00:34
5901021408,0,148,2020/02/13 14:00:34
5901022521,36,70,2020/02/13 14:00:34
5901022601,4,80,2020/02/13 14:00:34
5901022898,2,50,2020/02/13 14:00:34
5901023073,0,168,2020/02/13 14:00:34
5901023091,400,316,2020/02/13 14:00:34
5901023153,26,230,2020/02/13 14:00:34
5901023215,190,222,2020/02/13 14:00:34
5901023304,8,10,2020/02/13 14:00:34
5901023313,182,176,2020/02/13 14:00:34
5901023331,192,238,2020/02/13 14:00:34
5901023386,60,148,2020/02/13 14:00:34
5901023519,0,84,2020/02/13 14:00:34
5901023523,2,134,2020/02/13 14:00:34
5901023591,0,110,2020/02/13 14:00:34
5901023653,16,73,2020/02/13 14:00:34
5901023680,46,136,2020/02/13 14:00:34
5901023706,190,208,2020/02/13 14:00:34
5901023724,48,100,2020/02/13 14:00:34
5901023831,0,77,2020/02/13 14:00:34
5901023886,10,0,2020/02/13 14:00:34
5901023902,0,106,2020/02/13 14:00:34
5901023966,200,44,2020/02/13 14:00:34
5901024007,178,46,2020/02/13 14:00:34
5901024098,196,100,2020/02/13 14:00:34
5901024114,0,28,2020/02/13 14:00:34
5901024123,60,68,2020/02/13 14:00:34
5901024178,0,115,2020/02/13 14:00:34
5901024212,124,161,2020/02/13 14:00:34
5901024221,0,122,2020/02/13 14:00:34
5901024310,0,78,2020/02/13 14:00:34
5901024347,0,32,2020/02/13 14:00:34
5901024427,2,0,2020/02/13 14:00:34
5901024472,2,106,2020/02/13 14:00:34
5901024481,12,22,2020/02/13 14:00:34
5901024490,0,8,2020/02/13 14:00:34
5901024516,0,12,2020/02/13 14:00:34
5901024525,0,96,2020/02/13 14:00:34
5901024543,0,82,2020/02/13 14:00:34
5901024632,7,40,2020/02/13 14:00:34
5901024669,0,154,2020/02/13 14:00:34
5901024678,194,120,2020/02/13 14:00:34
5901024696,198,180,2020/02/13 14:00:34
5901024703,0,20,2020/02/13 14:00:34
5901024712,0,50,2020/02/13 14:00:34
5901024721,0,96,2020/02/13 14:00:34
5901024758,0,105,2020/02/13 14:00:34
5901024767,200,134,2020/02/13 14:00:34
5901024810,4,64,2020/02/13 14:00:34
5901024829,2,4,2020/02/13 14:00:34
5901024838,6,104,2020/02/13 14:00:34
5901024856,0,80,2020/02/13 14:00:34
5901024865,200,180,2020/02/13 14:00:34
5901024874,11,34,2020/02/13 14:00:34
5901024883,104,12,2020/02/13 14:00:34
5901024892,102,118,2020/02/13 14:00:34
5901024909,0,116,2020/02/13 14:00:34
5901024918,40,32,2020/02/13 14:00:34
5901090074,0,90,2020/02/13 14:00:34
5901090127,0,92,2020/02/13 14:00:34
5901090154,4,32,2020/02/13 14:00:34
5901090181,0,10,2020/02/13 14:00:34
5901090216,0,188,2020/02/13 14:00:34
5901090243,100,64,2020/02/13 14:00:34
5901090289,4,42,2020/02/13 14:00:34
5901090323,0,92,2020/02/13 14:00:34
5901090369,0,22,2020/02/13 14:00:34
5901091473,96,55,2020/02/13 14:00:34
5901091544,0,106,2020/02/13 14:00:34
5901091624,0,16,2020/02/13 14:00:34
5901091688,0,40,2020/02/13 14:00:34
5901091759,80,52,2020/02/13 14:00:34
5901091820,0,12,2020/02/13 14:00:34
5901091839,178,64,2020/02/13 14:00:34
5901091857,200,54,2020/02/13 14:00:34
5901091884,200,84,2020/02/13 14:00:34
5901091973,0,93,2020/02/13 14:00:34
5901091991,92,44,2020/02/13 14:00:34
5901092014,2,58,2020/02/13 14:00:34
5901092041,0,52,2020/02/13 14:00:34
5901092050,14,64,2020/02/13 14:00:34
5901092069,206,114,2020/02/13 14:00:34
5901092078,8,130,2020/02/13 14:00:34
5901100057,0,20,2020/02/13 14:00:34
5901100066,200,162,2020/02/13 14:00:34
5901100155,0,202,2020/02/13 14:00:34
