醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2191,1342,2020/02/25 18:00:38
0291010010,180,484,2020/02/25 18:00:38
2101010013,67,726,2020/02/25 18:00:38
2101020019,80,512,2020/02/25 18:00:38
2101090011,0,312,2020/02/25 18:00:38
2101100227,0,447,2020/02/25 18:00:38
2101110027,23,312,2020/02/25 18:00:38
2101120014,1,666,2020/02/25 18:00:38
2101150012,0,575,2020/02/25 18:00:38
2101161033,0,639,2020/02/25 18:00:38
2101170050,0,640,2020/02/25 18:00:38
2101180038,0,584,2020/02/25 18:00:38
2101191068,0,552,2020/02/25 18:00:38
2101200017,4,648,2020/02/25 18:00:38
2303240013,1136,762,2020/02/25 18:00:38
2311010010,660,1003,2020/02/25 18:00:38
2311020016,242,937,2020/02/25 18:00:38
2311030012,1066,1126,2020/02/25 18:00:38
2311040018,266,1062,2020/02/25 18:00:38
2311050014,1000,1074,2020/02/25 18:00:38
2311060010,2,380,2020/02/25 18:00:38
2311070016,761,1201,2020/02/25 18:00:38
2312010014,122,484,2020/02/25 18:00:38
2312041028,0,319,2020/02/25 18:00:38
2312050018,0,316,2020/02/25 18:00:38
2317020010,224,734,2020/02/25 18:00:38
2317040012,174,608,2020/02/25 18:00:38
2317050018,842,940,2020/02/25 18:00:38
2317060014,738,930,2020/02/25 18:00:38
2317070010,254,622,2020/02/25 18:00:38
2317080016,862,932,2020/02/25 18:00:38
2317081022,410,866,2020/02/25 18:00:38
2321010013,1194,1076,2020/02/25 18:00:38
2321020019,510,894,2020/02/25 18:00:38
2321030015,1597,1103,2020/02/25 18:00:38
2321040011,1653,1157,2020/02/25 18:00:38
2321060013,608,863,2020/02/25 18:00:38
2321070019,782,921,2020/02/25 18:00:38
2322010017,1569,1092,2020/02/25 18:00:38
2322020013,976,926,2020/02/25 18:00:38
2331070012,38,446,2020/02/25 18:00:38
2331080018,1,562,2020/02/25 18:00:38
2331090014,226,892,2020/02/25 18:00:38
2331100015,156,809,2020/02/25 18:00:38
2331120017,0,656,2020/02/25 18:00:38
2331160011,68,466,2020/02/25 18:00:38
2331170017,0,502,2020/02/25 18:00:38
2331180013,0,898,2020/02/25 18:00:38
2331190019,51,856,2020/02/25 18:00:38
2331200010,2,276,2020/02/25 18:00:38
2331210016,0,427,2020/02/25 18:00:38
2331220012,498,896,2020/02/25 18:00:38
2331230018,0,588,2020/02/25 18:00:38
2331240014,308,1288,2020/02/25 18:00:38
2331250010,890,1132,2020/02/25 18:00:38
2331260016,20,884,2020/02/25 18:00:38
2331270012,0,802,2020/02/25 18:00:38
2331280018,74,881,2020/02/25 18:00:38
2331290014,0,578,2020/02/25 18:00:38
2332030012,122,648,2020/02/25 18:00:38
2332040018,302,692,2020/02/25 18:00:38
2332060010,306,884,2020/02/25 18:00:38
2332080012,64,535,2020/02/25 18:00:38
2332090018,288,640,2020/02/25 18:00:38
2332100019,228,564,2020/02/25 18:00:38
2332110015,10,403,2020/02/25 18:00:38
2332120011,708,990,2020/02/25 18:00:38
2332130017,666,592,2020/02/25 18:00:38
2333070010,0,432,2020/02/25 18:00:38
2333100013,0,288,2020/02/25 18:00:38
2333110019,0,876,2020/02/25 18:00:38
2333120015,257,973,2020/02/25 18:00:38
2333130011,1042,820,2020/02/25 18:00:38
2333140017,1324,854,2020/02/25 18:00:38
2334010018,494,775,2020/02/25 18:00:38
2334020014,464,1002,2020/02/25 18:00:38
2334030010,724,932,2020/02/25 18:00:38
2334040016,638,888,2020/02/25 18:00:38
2334050012,72,590,2020/02/25 18:00:38
2334060018,156,741,2020/02/25 18:00:38
2334070014,508,906,2020/02/25 18:00:38
2334081026,320,816,2020/02/25 18:00:38
2334090016,402,777,2020/02/25 18:00:38
2334100017,220,734,2020/02/25 18:00:38
2334110013,736,954,2020/02/25 18:00:38
2334120019,1157,762,2020/02/25 18:00:38
2335010012,200,814,2020/02/25 18:00:38
2335020018,46,632,2020/02/25 18:00:38
2335030014,0,115,2020/02/25 18:00:38
2335040010,115,451,2020/02/25 18:00:38
2335050016,0,36,2020/02/25 18:00:38
2335060012,126,696,2020/02/25 18:00:38
2335070018,669,828,2020/02/25 18:00:38
2335080014,458,540,2020/02/25 18:00:38
2335090010,24,374,2020/02/25 18:00:38
2335100011,0,416,2020/02/25 18:00:38
2335110017,16,526,2020/02/25 18:00:38
2335120013,178,618,2020/02/25 18:00:38
2335130019,114,740,2020/02/25 18:00:38
2335140015,532,912,2020/02/25 18:00:38
2335150011,2,291,2020/02/25 18:00:38
2335160017,35,679,2020/02/25 18:00:38
2335170013,414,920,2020/02/25 18:00:38
2335180019,76,677,2020/02/25 18:00:38
2336010016,211,675,2020/02/25 18:00:38
2336020012,774,1090,2020/02/25 18:00:38
2336030018,138,668,2020/02/25 18:00:38
2336040014,0,610,2020/02/25 18:00:38
2336050010,216,534,2020/02/25 18:00:38
2336060016,0,244,2020/02/25 18:00:38
2336070012,278,622,2020/02/25 18:00:38
2336080018,22,206,2020/02/25 18:00:38
2336090014,243,748,2020/02/25 18:00:38
2336100015,0,592,2020/02/25 18:00:38
2336110011,417,842,2020/02/25 18:00:38
2336120017,326,662,2020/02/25 18:00:38
2336130013,264,820,2020/02/25 18:00:38
2336140019,434,796,2020/02/25 18:00:38
2336150015,212,892,2020/02/25 18:00:38
2336160011,114,678,2020/02/25 18:00:38
2336170017,212,552,2020/02/25 18:00:38
2336180013,284,822,2020/02/25 18:00:38
2336190019,602,946,2020/02/25 18:00:38
2336200010,229,794,2020/02/25 18:00:38
2336210025,1410,1044,2020/02/25 18:00:38
2336210034,1234,1127,2020/02/25 18:00:38
2337010010,644,851,2020/02/25 18:00:38
2337010029,658,938,2020/02/25 18:00:38
2337020016,318,576,2020/02/25 18:00:38
2337030012,22,263,2020/02/25 18:00:38
2337040018,1224,1004,2020/02/25 18:00:38
2337050014,282,676,2020/02/25 18:00:38
2337060010,968,912,2020/02/25 18:00:38
2337070016,1666,1092,2020/02/25 18:00:38
2337080012,1043,849,2020/02/25 18:00:38
2337090018,444,640,2020/02/25 18:00:38
2337100019,176,660,2020/02/25 18:00:38
2337110015,322,704,2020/02/25 18:00:38
2337120020,440,852,2020/02/25 18:00:38
2337130017,258,846,2020/02/25 18:00:38
2337140013,900,1070,2020/02/25 18:00:38
2337150019,156,638,2020/02/25 18:00:38
2337160015,698,888,2020/02/25 18:00:38
2337170011,366,658,2020/02/25 18:00:38
2337180017,258,732,2020/02/25 18:00:38
2337190013,640,886,2020/02/25 18:00:38
2337200014,2094,1328,2020/02/25 18:00:38
2337210010,546,771,2020/02/25 18:00:38
2337220016,552,832,2020/02/25 18:00:38
2337230012,2060,1190,2020/02/25 18:00:38
2337240018,844,1012,2020/02/25 18:00:38
2337250014,1634,1148,2020/02/25 18:00:38
2337260010,854,1056,2020/02/25 18:00:38
2338010014,2,401,2020/02/25 18:00:38
2338020010,970,870,2020/02/25 18:00:38
2338030016,254,594,2020/02/25 18:00:38
2338040012,2344,1254,2020/02/25 18:00:38
2338050018,96,756,2020/02/25 18:00:38
2338060014,444,848,2020/02/25 18:00:38
2338070010,88,732,2020/02/25 18:00:38
2338080016,62,518,2020/02/25 18:00:38
2338090012,700,928,2020/02/25 18:00:38
2338100013,1278,1062,2020/02/25 18:00:38
2338110019,1414,1092,2020/02/25 18:00:38
2338120015,480,702,2020/02/25 18:00:38
2338130011,2578,1168,2020/02/25 18:00:38
2339040016,1881,1116,2020/02/25 18:00:38
2339050012,1949,1042,2020/02/25 18:00:38
2339060018,1568,944,2020/02/25 18:00:38
2339070014,2012,1131,2020/02/25 18:00:38
2339100017,1150,1010,2020/02/25 18:00:38
2339110013,1720,914,2020/02/25 18:00:38
2339120019,1814,1128,2020/02/25 18:00:38
2339130015,1734,1004,2020/02/25 18:00:38
2339180015,2030,1124,2020/02/25 18:00:38
2339200012,2155,1140,2020/02/25 18:00:38
2340010015,1308,1114,2020/02/25 18:00:38
2340020011,900,938,2020/02/25 18:00:38
2340030017,758,946,2020/02/25 18:00:38
2340040013,1458,1088,2020/02/25 18:00:38
2340050019,2336,1284,2020/02/25 18:00:38
2340060015,382,974,2020/02/25 18:00:38
2340070011,738,1072,2020/02/25 18:00:38
2340080017,946,886,2020/02/25 18:00:38
2340090013,1630,1160,2020/02/25 18:00:38
2340100014,468,1040,2020/02/25 18:00:38
2340110010,988,1054,2020/02/25 18:00:38
2340120016,765,936,2020/02/25 18:00:38
2340130012,1204,1002,2020/02/25 18:00:38
2340140018,918,921,2020/02/25 18:00:38
2340150014,1284,1102,2020/02/25 18:00:38
2340160010,1294,1110,2020/02/25 18:00:38
2340170016,852,948,2020/02/25 18:00:38
2340180012,1084,839,2020/02/25 18:00:38
2341010019,1982,1160,2020/02/25 18:00:38
2341020015,1028,1012,2020/02/25 18:00:38
2341030011,2102,1134,2020/02/25 18:00:38
2341040017,1426,1094,2020/02/25 18:00:38
2341050013,2177,1190,2020/02/25 18:00:38
2341060019,996,1068,2020/02/25 18:00:38
2341070015,916,806,2020/02/25 18:00:38
2341080011,1994,1149,2020/02/25 18:00:38
2341090017,2100,1200,2020/02/25 18:00:38
2341100018,2178,1163,2020/02/25 18:00:38
2341110014,1984,1222,2020/02/25 18:00:38
2341120010,2412,1288,2020/02/25 18:00:38
2341130016,2554,1350,2020/02/25 18:00:38
2341140012,1928,1159,2020/02/25 18:00:38
2341150018,2096,1124,2020/02/25 18:00:38
2341160014,1542,1113,2020/02/25 18:00:38
2341170010,1780,1084,2020/02/25 18:00:38
2341180016,1526,1090,2020/02/25 18:00:38
2341190012,1970,1138,2020/02/25 18:00:38
2341200013,1162,1100,2020/02/25 18:00:38
2341210019,326,562,2020/02/25 18:00:38
2341220015,1854,1230,2020/02/25 18:00:38
2341230011,2137,1268,2020/02/25 18:00:38
2341240017,1866,1120,2020/02/25 18:00:38
2341250013,862,1094,2020/02/25 18:00:38
2341260019,2734,1298,2020/02/25 18:00:38
2341270015,1577,1122,2020/02/25 18:00:38
2341280011,1074,1096,2020/02/25 18:00:38
2341290017,840,1032,2020/02/25 18:00:38
2341300018,642,1378,2020/02/25 18:00:38
2341310014,736,746,2020/02/25 18:00:38
2342010013,734,922,2020/02/25 18:00:38
2342020019,312,894,2020/02/25 18:00:38
2342030015,2134,1266,2020/02/25 18:00:38
2342040011,1304,1184,2020/02/25 18:00:38
2342050017,94,844,2020/02/25 18:00:38
2342060013,502,856,2020/02/25 18:00:38
2342070019,762,930,2020/02/25 18:00:38
2342080015,380,720,2020/02/25 18:00:38
2342100012,358,724,2020/02/25 18:00:38
2342110018,240,907,2020/02/25 18:00:38
2342120014,126,762,2020/02/25 18:00:38
2342130010,514,1238,2020/02/25 18:00:38
2342140016,188,806,2020/02/25 18:00:38
2342150012,582,996,2020/02/25 18:00:38
2342160018,1024,1172,2020/02/25 18:00:38
2342170014,398,859,2020/02/25 18:00:38
2342180010,4,416,2020/02/25 18:00:38
2342190016,984,986,2020/02/25 18:00:38
2342200017,460,848,2020/02/25 18:00:38
2342210013,2642,1274,2020/02/25 18:00:38
2342220019,3040,1362,2020/02/25 18:00:38
2342230015,1778,1112,2020/02/25 18:00:38
2342240011,2548,1422,2020/02/25 18:00:38
2342250017,3464,1496,2020/02/25 18:00:38
2342260013,3462,1478,2020/02/25 18:00:38
2342270019,2148,790,2020/02/25 18:00:38
2343010017,134,518,2020/02/25 18:00:38
2343020013,892,794,2020/02/25 18:00:38
2343030019,294,886,2020/02/25 18:00:38
2343040015,74,220,2020/02/25 18:00:38
2343050011,190,594,2020/02/25 18:00:38
2343060017,408,736,2020/02/25 18:00:38
2343070013,920,966,2020/02/25 18:00:38
2343080019,478,652,2020/02/25 18:00:38
2343090015,34,456,2020/02/25 18:00:38
2343100016,228,804,2020/02/25 18:00:38
2343110012,1984,1070,2020/02/25 18:00:38
2343120018,1302,714,2020/02/25 18:00:38
2343130014,0,108,2020/02/25 18:00:38
2343140010,156,726,2020/02/25 18:00:38
2343150016,1442,1163,2020/02/25 18:00:38
2343160012,286,640,2020/02/25 18:00:38
2343170018,196,514,2020/02/25 18:00:38
2343180014,1072,934,2020/02/25 18:00:38
2343190010,754,882,2020/02/25 18:00:38
2343200011,547,886,2020/02/25 18:00:38
2343210017,118,746,2020/02/25 18:00:38
2343220013,84,748,2020/02/25 18:00:38
2343230019,533,820,2020/02/25 18:00:38
2343240015,340,676,2020/02/25 18:00:38
2343250011,1566,1040,2020/02/25 18:00:38
2343260017,2974,1324,2020/02/25 18:00:38
2343270013,3223,1453,2020/02/25 18:00:38
2343280019,490,730,2020/02/25 18:00:38
2343290015,3374,1488,2020/02/25 18:00:38
2343300016,3142,1336,2020/02/25 18:00:38
2343310012,2432,1218,2020/02/25 18:00:38
2343320018,3644,1464,2020/02/25 18:00:38
2343330014,2508,994,2020/02/25 18:00:38
2344010011,112,668,2020/02/25 18:00:38
2344011027,664,760,2020/02/25 18:00:38
2344011036,262,952,2020/02/25 18:00:38
2344020017,594,844,2020/02/25 18:00:38
2344030013,318,696,2020/02/25 18:00:38
2344030022,3020,1528,2020/02/25 18:00:38
2344030031,2860,1462,2020/02/25 18:00:38
2344040019,1072,1120,2020/02/25 18:00:38
2344050015,1985,1590,2020/02/25 18:00:38
2344050024,3516,1686,2020/02/25 18:00:38
2344060011,646,1184,2020/02/25 18:00:38
2345010015,596,580,2020/02/25 18:00:38
2345020011,784,921,2020/02/25 18:00:38
2345030017,1532,1050,2020/02/25 18:00:38
2345040013,464,460,2020/02/25 18:00:38
2345050019,343,559,2020/02/25 18:00:38
2345060015,824,820,2020/02/25 18:00:38
2345070011,2140,1108,2020/02/25 18:00:38
2345090013,1241,937,2020/02/25 18:00:38
2345100014,225,767,2020/02/25 18:00:38
2345110010,220,72,2020/02/25 18:00:38
2345120016,1044,981,2020/02/25 18:00:38
2345130012,1499,930,2020/02/25 18:00:38
2346010019,382,456,2020/02/25 18:00:38
2346020015,116,436,2020/02/25 18:00:38
2346030011,522,616,2020/02/25 18:00:38
2346040017,764,760,2020/02/25 18:00:38
2346050013,765,722,2020/02/25 18:00:38
2346060019,809,745,2020/02/25 18:00:38
2346070015,749,1092,2020/02/25 18:00:38
2346080011,1258,824,2020/02/25 18:00:38
2346090017,1380,930,2020/02/25 18:00:38
2346100018,0,516,2020/02/25 18:00:38
2346110014,874,951,2020/02/25 18:00:38
2346120010,2527,1122,2020/02/25 18:00:38
2346130016,596,726,2020/02/25 18:00:38
2346140012,3508,1550,2020/02/25 18:00:38
2346150018,2718,1079,2020/02/25 18:00:38
2346160014,3274,1445,2020/02/25 18:00:38
2390010010,793,863,2020/02/25 18:00:38
2390020016,562,750,2020/02/25 18:00:38
2390030030,1006,768,2020/02/25 18:00:38
2390040518,398,256,2020/02/25 18:00:38
2390050032,400,532,2020/02/25 18:00:38
2391020010,1382,1008,2020/02/25 18:00:38
2391030016,4199,1714,2020/02/25 18:00:38
2391030026,3109,1723,2020/02/25 18:00:38
2391040012,3085,1609,2020/02/25 18:00:38
5901010058,0,654,2020/02/25 18:00:38
5901010076,0,113,2020/02/25 18:00:38
5901010085,0,334,2020/02/25 18:00:38
5901010094,0,520,2020/02/25 18:00:38
5901010165,0,520,2020/02/25 18:00:38
5901010174,96,460,2020/02/25 18:00:38
5901010192,4,284,2020/02/25 18:00:38
5901010272,82,784,2020/02/25 18:00:38
5901010290,0,614,2020/02/25 18:00:38
5901010496,0,690,2020/02/25 18:00:38
5901010576,0,236,2020/02/25 18:00:38
5901011662,120,980,2020/02/25 18:00:38
5901011699,0,634,2020/02/25 18:00:38
5901011733,378,1064,2020/02/25 18:00:38
5901011751,0,176,2020/02/25 18:00:38
5901011760,30,837,2020/02/25 18:00:38
5901011975,12,280,2020/02/25 18:00:38
5901012203,2,450,2020/02/25 18:00:38
5901012383,393,1426,2020/02/25 18:00:38
5901012409,68,274,2020/02/25 18:00:38
5901012454,182,594,2020/02/25 18:00:38
5901012490,28,480,2020/02/25 18:00:38
5901012507,0,154,2020/02/25 18:00:38
5901012516,80,479,2020/02/25 18:00:38
5901012561,0,496,2020/02/25 18:00:38
5901012570,120,493,2020/02/25 18:00:38
5901012598,18,404,2020/02/25 18:00:38
