醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,3263,1976,2020/02/29 12:00:39
0291010010,408,584,2020/02/29 12:00:39
2101010013,141,1291,2020/02/29 12:00:39
2101020019,24,1044,2020/02/29 12:00:39
2101090011,0,648,2020/02/29 12:00:39
2101100227,0,955,2020/02/29 12:00:39
2101110027,1,623,2020/02/29 12:00:39
2101120014,33,1118,2020/02/29 12:00:39
2101150012,32,1079,2020/02/29 12:00:39
2101161033,0,1157,2020/02/29 12:00:39
2101170050,28,1196,2020/02/29 12:00:39
2101180038,0,1164,2020/02/29 12:00:39
2101191068,0,912,2020/02/29 12:00:39
2101200017,0,1160,2020/02/29 12:00:39
2303240013,1756,1258,2020/02/29 12:00:39
2311010010,1401,1651,2020/02/29 12:00:39
2311020016,489,1501,2020/02/29 12:00:39
2311030012,1958,1806,2020/02/29 12:00:39
2311040018,657,1710,2020/02/29 12:00:39
2311050014,1538,1566,2020/02/29 12:00:39
2311060010,234,1008,2020/02/29 12:00:39
2311070016,1200,1712,2020/02/29 12:00:39
2312010014,0,884,2020/02/29 12:00:39
2312041028,0,581,2020/02/29 12:00:39
2312050018,22,556,2020/02/29 12:00:39
2317020010,604,1214,2020/02/29 12:00:39
2317040012,680,1104,2020/02/29 12:00:39
2317050018,1854,1656,2020/02/29 12:00:39
2317060014,1524,1538,2020/02/29 12:00:39
2317070010,854,1098,2020/02/29 12:00:39
2317080016,1694,1544,2020/02/29 12:00:39
2317081022,876,1474,2020/02/29 12:00:39
2321010013,1750,1484,2020/02/29 12:00:39
2321020019,1146,1478,2020/02/29 12:00:39
2321030015,2303,1536,2020/02/29 12:00:39
2321040011,2424,1637,2020/02/29 12:00:39
2321060013,1393,1456,2020/02/29 12:00:39
2321070019,1415,1488,2020/02/29 12:00:39
2322010017,2691,1812,2020/02/29 12:00:39
2322020013,1744,1520,2020/02/29 12:00:39
2331070012,83,887,2020/02/29 12:00:39
2331080018,11,938,2020/02/29 12:00:39
2331090014,440,1272,2020/02/29 12:00:39
2331100015,4,1073,2020/02/29 12:00:39
2331120017,6,1128,2020/02/29 12:00:39
2331150015,68,828,2020/02/29 12:00:39
2331160011,0,656,2020/02/29 12:00:39
2331170017,50,664,2020/02/29 12:00:39
2331180013,0,1318,2020/02/29 12:00:39
2331190019,290,1284,2020/02/29 12:00:39
2331200010,0,458,2020/02/29 12:00:39
2331210016,0,722,2020/02/29 12:00:39
2331220012,762,1494,2020/02/29 12:00:39
2331230018,0,836,2020/02/29 12:00:39
2331240014,568,1896,2020/02/29 12:00:39
2331250010,1688,1824,2020/02/29 12:00:39
2331260016,44,1360,2020/02/29 12:00:39
2331270012,0,1326,2020/02/29 12:00:39
2331280018,688,1545,2020/02/29 12:00:39
2331290014,188,1052,2020/02/29 12:00:39
2332030012,1,1000,2020/02/29 12:00:39
2332040018,526,1012,2020/02/29 12:00:39
2332060010,828,1372,2020/02/29 12:00:39
2332080012,37,881,2020/02/29 12:00:39
2332090018,710,1144,2020/02/29 12:00:39
2332100019,384,1012,2020/02/29 12:00:39
2332110015,0,761,2020/02/29 12:00:39
2332120011,1428,1538,2020/02/29 12:00:39
2332130017,1618,1216,2020/02/29 12:00:39
2333010014,1522,768,2020/02/29 12:00:39
2333020010,0,420,2020/02/29 12:00:39
2333030016,465,360,2020/02/29 12:00:39
2333050018,430,228,2020/02/29 12:00:39
2333060014,0,224,2020/02/29 12:00:39
2333070010,68,680,2020/02/29 12:00:39
2333080016,292,400,2020/02/29 12:00:39
2333090012,58,408,2020/02/29 12:00:39
2333100013,0,455,2020/02/29 12:00:39
2333110019,0,1316,2020/02/29 12:00:39
2333120015,591,1393,2020/02/29 12:00:39
2333130011,1420,1076,2020/02/29 12:00:39
2333140017,2010,1226,2020/02/29 12:00:39
2334010018,1224,1411,2020/02/29 12:00:39
2334020014,1158,1634,2020/02/29 12:00:39
2334030010,1662,1544,2020/02/29 12:00:39
2334040016,1400,1500,2020/02/29 12:00:39
2334050012,240,926,2020/02/29 12:00:39
2334060018,144,1025,2020/02/29 12:00:39
2334070014,932,1450,2020/02/29 12:00:39
2334081026,510,1304,2020/02/29 12:00:39
2334090016,882,1192,2020/02/29 12:00:39
2334100017,0,1094,2020/02/29 12:00:39
2334110013,1456,1513,2020/02/29 12:00:39
2334120019,1611,994,2020/02/29 12:00:39
2335010012,690,1302,2020/02/29 12:00:39
2335020018,112,1144,2020/02/29 12:00:39
2335030014,0,266,2020/02/29 12:00:39
2335040010,117,811,2020/02/29 12:00:39
2335050016,0,136,2020/02/29 12:00:39
2335060012,242,1180,2020/02/29 12:00:39
2335070018,1430,1432,2020/02/29 12:00:39
2335080014,246,872,2020/02/29 12:00:39
2335090010,0,704,2020/02/29 12:00:39
2335100011,172,744,2020/02/29 12:00:39
2335110017,88,870,2020/02/29 12:00:39
2335120013,520,1106,2020/02/29 12:00:39
2335130019,0,1223,2020/02/29 12:00:39
2335140015,1302,1516,2020/02/29 12:00:39
2335150011,0,407,2020/02/29 12:00:39
2335160017,216,1027,2020/02/29 12:00:39
2335170013,1009,1475,2020/02/29 12:00:39
2335180019,532,1020,2020/02/29 12:00:39
2336010016,541,1175,2020/02/29 12:00:39
2336020012,1688,1774,2020/02/29 12:00:39
2336030018,0,1020,2020/02/29 12:00:39
2336040014,0,944,2020/02/29 12:00:39
2336050010,368,910,2020/02/29 12:00:39
2336060016,0,468,2020/02/29 12:00:39
2336070012,494,1066,2020/02/29 12:00:39
2336080018,1,470,2020/02/29 12:00:39
2336090014,669,1344,2020/02/29 12:00:39
2336100015,0,920,2020/02/29 12:00:39
2336110011,1092,1458,2020/02/29 12:00:39
2336120017,702,1134,2020/02/29 12:00:39
2336130013,514,1340,2020/02/29 12:00:39
2336140019,644,1276,2020/02/29 12:00:39
2336150015,666,1452,2020/02/29 12:00:39
2336160011,0,962,2020/02/29 12:00:39
2336170017,194,948,2020/02/29 12:00:39
2336180013,362,1340,2020/02/29 12:00:39
2336190019,1234,1582,2020/02/29 12:00:39
2336200010,511,1294,2020/02/29 12:00:39
2336210025,2150,1440,2020/02/29 12:00:39
2336210034,2058,1695,2020/02/29 12:00:39
2337010010,1164,1259,2020/02/29 12:00:39
2337010029,1338,1437,2020/02/29 12:00:39
2337020016,448,856,2020/02/29 12:00:39
2337030012,112,459,2020/02/29 12:00:39
2337040018,1606,1312,2020/02/29 12:00:39
2337050014,674,1064,2020/02/29 12:00:39
2337060010,1634,1368,2020/02/29 12:00:39
2337070016,2587,1614,2020/02/29 12:00:39
2337080012,1925,1341,2020/02/29 12:00:39
2337090018,836,992,2020/02/29 12:00:39
2337100019,388,1048,2020/02/29 12:00:39
2337110015,528,1008,2020/02/29 12:00:39
2337120020,656,1260,2020/02/29 12:00:39
2337130017,560,1214,2020/02/29 12:00:39
2337140013,1626,1514,2020/02/29 12:00:39
2337150019,576,1046,2020/02/29 12:00:39
2337160015,1228,1243,2020/02/29 12:00:39
2337170011,320,896,2020/02/29 12:00:39
2337180017,602,1128,2020/02/29 12:00:39
2337190013,1240,1290,2020/02/29 12:00:39
2337200014,3104,1924,2020/02/29 12:00:39
2337210010,1212,1231,2020/02/29 12:00:39
2337220016,994,1228,2020/02/29 12:00:39
2337230012,2988,1730,2020/02/29 12:00:39
2337240018,1490,1448,2020/02/29 12:00:39
2337250014,2182,1504,2020/02/29 12:00:39
2337260010,1664,1596,2020/02/29 12:00:39
2338010014,0,677,2020/02/29 12:00:39
2338020010,1744,1414,2020/02/29 12:00:39
2338030016,0,985,2020/02/29 12:00:39
2338040012,3764,2014,2020/02/29 12:00:39
2338050018,504,1312,2020/02/29 12:00:39
2338060014,612,1220,2020/02/29 12:00:39
2338070010,57,888,2020/02/29 12:00:39
2338080016,132,866,2020/02/29 12:00:39
2338090012,1434,1576,2020/02/29 12:00:39
2338100013,1924,1538,2020/02/29 12:00:39
2338110019,1496,1348,2020/02/29 12:00:39
2338120015,1048,1133,2020/02/29 12:00:39
2338130011,3646,1684,2020/02/29 12:00:39
2339040016,2855,1592,2020/02/29 12:00:39
2339050012,2983,1558,2020/02/29 12:00:39
2339060018,2314,1276,2020/02/29 12:00:39
2339070014,3020,1662,2020/02/29 12:00:39
2339100017,1828,1466,2020/02/29 12:00:39
2339110013,2566,1405,2020/02/29 12:00:39
2339120019,2826,1696,2020/02/29 12:00:39
2339130015,2590,1528,2020/02/29 12:00:39
2339180015,2908,1664,2020/02/29 12:00:39
2339200012,3252,1712,2020/02/29 12:00:39
2340010015,2038,1570,2020/02/29 12:00:39
2340020011,1660,1546,2020/02/29 12:00:39
2340030017,1488,1566,2020/02/29 12:00:39
2340040013,2200,1592,2020/02/29 12:00:39
2340050019,3382,1852,2020/02/29 12:00:39
2340060015,448,1474,2020/02/29 12:00:39
2340070011,1572,1688,2020/02/29 12:00:39
2340080017,1872,1502,2020/02/29 12:00:39
2340090013,2032,1424,2020/02/29 12:00:39
2340100014,1324,1692,2020/02/29 12:00:39
2340110010,1852,1706,2020/02/29 12:00:39
2340120016,1461,1524,2020/02/29 12:00:39
2340130012,1830,1382,2020/02/29 12:00:39
2340140018,1737,1498,2020/02/29 12:00:39
2340150014,1728,1570,2020/02/29 12:00:39
2340160010,1926,1594,2020/02/29 12:00:39
2340170016,1526,1556,2020/02/29 12:00:39
2340180012,1866,1319,2020/02/29 12:00:39
2341010019,2876,1628,2020/02/29 12:00:39
2341020015,1642,1472,2020/02/29 12:00:39
2341030011,2994,1674,2020/02/29 12:00:39
2341040017,2022,1510,2020/02/29 12:00:39
2341050013,3091,1738,2020/02/29 12:00:39
2341060019,1924,1700,2020/02/29 12:00:39
2341070015,1824,1454,2020/02/29 12:00:39
2341080011,2932,1701,2020/02/29 12:00:39
2341090017,3050,1706,2020/02/29 12:00:39
2341100018,3150,1727,2020/02/29 12:00:39
2341110014,2886,1706,2020/02/29 12:00:39
2341120010,3370,1840,2020/02/29 12:00:39
2341130016,3524,1882,2020/02/29 12:00:39
2341140012,2720,1596,2020/02/29 12:00:39
2341150018,3030,1628,2020/02/29 12:00:39
2341160014,2179,1477,2020/02/29 12:00:39
2341170010,2394,1472,2020/02/29 12:00:39
2341180016,2312,1542,2020/02/29 12:00:39
2341190012,2766,1590,2020/02/29 12:00:39
2341200013,1689,1592,2020/02/29 12:00:39
2341210019,620,922,2020/02/29 12:00:39
2341220015,2728,1774,2020/02/29 12:00:39
2341230011,3063,1812,2020/02/29 12:00:39
2341240017,2598,1569,2020/02/29 12:00:39
2341250013,1640,1674,2020/02/29 12:00:39
2341260019,3430,1634,2020/02/29 12:00:39
2341270015,1939,1426,2020/02/29 12:00:39
2341280011,1070,1332,2020/02/29 12:00:39
2341290017,1520,1624,2020/02/29 12:00:39
2341300018,1400,2010,2020/02/29 12:00:39
2341310014,1538,1314,2020/02/29 12:00:39
2342010013,1490,1540,2020/02/29 12:00:39
2342020019,290,1342,2020/02/29 12:00:39
2342030015,3024,1794,2020/02/29 12:00:39
2342040011,1912,1546,2020/02/29 12:00:39
2342050017,244,1444,2020/02/29 12:00:39
2342060013,912,1340,2020/02/29 12:00:39
2342070019,1408,1508,2020/02/29 12:00:39
2342080015,466,1072,2020/02/29 12:00:39
2342100012,64,964,2020/02/29 12:00:39
2342110018,459,1380,2020/02/29 12:00:39
2342120014,38,1142,2020/02/29 12:00:39
2342130010,1154,1846,2020/02/29 12:00:39
2342140016,94,1192,2020/02/29 12:00:39
2342150012,642,1336,2020/02/29 12:00:39
2342160018,890,1448,2020/02/29 12:00:39
2342170014,454,1298,2020/02/29 12:00:39
2342180010,10,520,2020/02/29 12:00:39
2342190016,1979,1584,2020/02/29 12:00:39
2342200017,928,1416,2020/02/29 12:00:39
2342210013,3675,1826,2020/02/29 12:00:39
2342220019,4608,2154,2020/02/29 12:00:39
2342230015,2480,1590,2020/02/29 12:00:39
2342240011,2664,1570,2020/02/29 12:00:39
2342250017,4686,2136,2020/02/29 12:00:39
2342260013,4376,1978,2020/02/29 12:00:39
2342270019,3342,1262,2020/02/29 12:00:39
2343010017,544,970,2020/02/29 12:00:39
2343020013,1762,1434,2020/02/29 12:00:39
2343030019,513,1386,2020/02/29 12:00:39
2343040015,467,592,2020/02/29 12:00:39
2343050011,318,1042,2020/02/29 12:00:39
2343060017,978,1300,2020/02/29 12:00:39
2343070013,1688,1546,2020/02/29 12:00:39
2343080019,902,984,2020/02/29 12:00:39
2343090015,126,828,2020/02/29 12:00:39
2343100016,522,1256,2020/02/29 12:00:39
2343110012,2844,1554,2020/02/29 12:00:39
2343120018,1976,1062,2020/02/29 12:00:39
2343130014,0,152,2020/02/29 12:00:39
2343140010,448,1218,2020/02/29 12:00:39
2343150016,2094,1707,2020/02/29 12:00:39
2343160012,797,1139,2020/02/29 12:00:39
2343170018,410,898,2020/02/29 12:00:39
2343180014,1450,1306,2020/02/29 12:00:39
2343190010,1764,1498,2020/02/29 12:00:39
2343200011,1369,1480,2020/02/29 12:00:39
2343210017,184,1242,2020/02/29 12:00:39
2343220013,86,1224,2020/02/29 12:00:39
2343230019,1047,1396,2020/02/29 12:00:39
2343240015,782,1020,2020/02/29 12:00:39
2343250011,2266,1512,2020/02/29 12:00:39
2343260017,3742,1748,2020/02/29 12:00:39
2343270013,4006,1916,2020/02/29 12:00:39
2343280019,1264,1050,2020/02/29 12:00:39
2343290015,4222,1944,2020/02/29 12:00:39
2343300016,4068,1816,2020/02/29 12:00:39
2343310012,2886,1482,2020/02/29 12:00:39
2343320018,4972,2028,2020/02/29 12:00:39
2343330014,3085,1309,2020/02/29 12:00:39
2344010011,318,1064,2020/02/29 12:00:39
2344011027,1374,1252,2020/02/29 12:00:39
2344011036,633,1424,2020/02/29 12:00:39
2344020017,1014,1296,2020/02/29 12:00:39
2344030013,630,1104,2020/02/29 12:00:39
2344030022,4312,2268,2020/02/29 12:00:39
2344030031,2898,1592,2020/02/29 12:00:39
2344040019,1618,1604,2020/02/29 12:00:39
2344050015,3013,2322,2020/02/29 12:00:39
2344050024,4788,2388,2020/02/29 12:00:39
2344060011,1244,1772,2020/02/29 12:00:39
2345010015,1357,1188,2020/02/29 12:00:39
2345020011,1530,1467,2020/02/29 12:00:39
2345030017,2156,1482,2020/02/29 12:00:39
2345040013,854,804,2020/02/29 12:00:39
2345050019,829,1037,2020/02/29 12:00:39
2345060015,1856,1448,2020/02/29 12:00:39
2345070011,2970,1620,2020/02/29 12:00:39
2345090013,1893,1433,2020/02/29 12:00:39
2345100014,431,1243,2020/02/29 12:00:39
2345110010,700,263,2020/02/29 12:00:39
2345120016,1366,1181,2020/02/29 12:00:39
2345130012,2211,1260,2020/02/29 12:00:39
2346010019,824,900,2020/02/29 12:00:39
2346020015,286,784,2020/02/29 12:00:39
2346030011,914,1020,2020/02/29 12:00:39
2346040017,1302,1276,2020/02/29 12:00:39
2346050013,1633,1194,2020/02/29 12:00:39
2346060019,2091,1532,2020/02/29 12:00:39
2346070015,1945,1812,2020/02/29 12:00:39
2346080011,1884,1196,2020/02/29 12:00:39
2346090017,2118,1394,2020/02/29 12:00:39
2346100018,46,868,2020/02/29 12:00:39
2346110014,1648,1494,2020/02/29 12:00:39
2346120010,3242,1539,2020/02/29 12:00:39
2346130016,1288,1001,2020/02/29 12:00:39
2346140012,4458,2032,2020/02/29 12:00:39
2346150018,3565,1471,2020/02/29 12:00:39
2346160014,4174,1969,2020/02/29 12:00:39
2390010010,1198,1306,2020/02/29 12:00:39
2390020016,1056,1146,2020/02/29 12:00:39
2390030030,1556,1064,2020/02/29 12:00:39
2390040518,708,408,2020/02/29 12:00:39
2390050032,738,808,2020/02/29 12:00:39
2391020010,1810,1300,2020/02/29 12:00:39
2391030016,5567,2459,2020/02/29 12:00:39
2391030026,4487,2495,2020/02/29 12:00:39
2391040012,3773,2169,2020/02/29 12:00:39
5901010058,8,1202,2020/02/29 12:00:39
5901010076,0,200,2020/02/29 12:00:39
5901010085,0,758,2020/02/29 12:00:39
5901010094,94,926,2020/02/29 12:00:39
5901010165,0,744,2020/02/29 12:00:39
5901010174,0,668,2020/02/29 12:00:39
5901010192,400,512,2020/02/29 12:00:39
5901010272,18,1208,2020/02/29 12:00:39
5901010290,0,842,2020/02/29 12:00:39
5901010496,14,1134,2020/02/29 12:00:39
5901010576,10,484,2020/02/29 12:00:39
5901011662,0,1300,2020/02/29 12:00:39
5901011699,0,886,2020/02/29 12:00:39
5901011733,492,1560,2020/02/29 12:00:39
5901011751,0,276,2020/02/29 12:00:39
5901011760,16,1273,2020/02/29 12:00:39
5901011975,0,242,2020/02/29 12:00:39
5901012203,0,582,2020/02/29 12:00:39
5901012383,42,1838,2020/02/29 12:00:39
5901012409,0,350,2020/02/29 12:00:39
5901012454,0,774,2020/02/29 12:00:39
5901012490,60,772,2020/02/29 12:00:39
5901012507,14,314,2020/02/29 12:00:39
5901012516,0,807,2020/02/29 12:00:39
5901012561,0,912,2020/02/29 12:00:39
5901012570,0,613,2020/02/29 12:00:39
5901012598,319,676,2020/02/29 12:00:39
5901012632,392,866,2020/02/29 12:00:39
5901012650,24,976,2020/02/29 12:00:39
5901012669,466,1290,2020/02/29 12:00:39
5901012712,0,668,2020/02/29 12:00:39
5901012749,2,1228,2020/02/29 12:00:39
5901012758,0,514,2020/02/29 12:00:39
5901012767,0,648,2020/02/29 12:00:39
5901012918,0,252,2020/02/29 12:00:39
5901012963,0,450,2020/02/29 12:00:39
5901013004,0,1418,2020/02/29 12:00:39
5901013095,0,578,2020/02/29 12:00:39
5901013120,66,705,2020/02/29 12:00:39
5901013139,0,844,2020/02/29 12:00:39
5901013148,0,696,2020/02/29 12:00:39
5901013157,0,6,2020/02/29 12:00:39
5901013175,0,684,2020/02/29 12:00:39
5901013200,0,863,2020/02/29 12:00:39
5901013246,0,587,2020/02/29 12:00:39
5901013264,766,1724,2020/02/29 12:00:39
5901013308,10,720,2020/02/29 12:00:39
5901013326,392,473,2020/02/29 12:00:39
5901013344,0,956,2020/02/29 12:00:39
5901013362,0,317,2020/02/29 12:00:39
5901013371,0,1268,2020/02/29 12:00:39
5901013380,4,974,2020/02/29 12:00:39
5901013399,386,884,2020/02/29 12:00:39
5901013406,20,962,2020/02/29 12:00:39
5901013433,0,606,2020/02/29 12:00:39
5901013442,612,1856,2020/02/29 12:00:39
5901013451,0,1334,2020/02/29 12:00:39
5901013460,220,432,2020/02/29 12:00:39
5901013488,178,1398,2020/02/29 12:00:39
5901013497,18,902,2020/02/29 12:00:39
5901013504,160,680,2020/02/29 12:00:39
5901013513,66,742,2020/02/29 12:00:39
5901013522,14,1180,2020/02/29 12:00:39
5901020296,0,649,2020/02/29 12:00:39
5901020303,98,1162,2020/02/29 12:00:39
5901020376,0,1374,2020/02/29 12:00:39
5901020385,0,682,2020/02/29 12:00:39
5901020465,38,1310,2020/02/29 12:00:39
5901020554,200,563,2020/02/29 12:00:39
5901020563,0,920,2020/02/29 12:00:39
5901020590,0,1524,2020/02/29 12:00:39
5901020616,1,1043,2020/02/29 12:00:39
5901020634,8,944,2020/02/29 12:00:39
5901020652,0,716,2020/02/29 12:00:39
5901020661,8,816,2020/02/29 12:00:39
5901020670,258,1573,2020/02/29 12:00:39
5901020689,366,1502,2020/02/29 12:00:39
5901020698,8,700,2020/02/29 12:00:39
5901020732,396,1193,2020/02/29 12:00:39
5901020787,0,553,2020/02/29 12:00:39
5901020858,10,412,2020/02/29 12:00:39
5901020876,0,738,2020/02/29 12:00:39
5901020901,32,1206,2020/02/29 12:00:39
5901021248,0,16,2020/02/29 12:00:39
5901021346,0,974,2020/02/29 12:00:39
5901021382,0,384,2020/02/29 12:00:39
5901021408,0,1500,2020/02/29 12:00:39
5901022521,0,642,2020/02/29 12:00:39
5901022601,168,1060,2020/02/29 12:00:39
5901022898,40,712,2020/02/29 12:00:39
5901023073,0,765,2020/02/29 12:00:39
5901023091,506,1978,2020/02/29 12:00:39
5901023153,534,1738,2020/02/29 12:00:39
5901023215,390,1508,2020/02/29 12:00:39
5901023304,0,661,2020/02/29 12:00:39
5901023313,5,1257,2020/02/29 12:00:39
5901023331,250,1478,2020/02/29 12:00:39
5901023386,258,1236,2020/02/29 12:00:39
5901023411,2,444,2020/02/29 12:00:39
5901023519,0,1006,2020/02/29 12:00:39
5901023523,1,701,2020/02/29 12:00:39
5901023591,0,720,2020/02/29 12:00:39
5901023653,0,797,2020/02/29 12:00:39
5901023680,232,1256,2020/02/29 12:00:39
5901023706,727,1506,2020/02/29 12:00:39
5901023724,114,1140,2020/02/29 12:00:39
5901023831,0,852,2020/02/29 12:00:39
5901023886,34,396,2020/02/29 12:00:39
5901023902,0,814,2020/02/29 12:00:39
5901023966,0,308,2020/02/29 12:00:39
5901024007,0,104,2020/02/29 12:00:39
5901024098,392,870,2020/02/29 12:00:39
5901024114,0,352,2020/02/29 12:00:39
5901024123,310,786,2020/02/29 12:00:39
5901024178,0,690,2020/02/29 12:00:39
5901024212,24,1427,2020/02/29 12:00:39
5901024221,8,1162,2020/02/29 12:00:39
5901024310,20,426,2020/02/29 12:00:39
5901024347,4,455,2020/02/29 12:00:39
5901024427,110,300,2020/02/29 12:00:39
5901024472,78,1040,2020/02/29 12:00:39
5901024481,16,262,2020/02/29 12:00:39
5901024490,4,196,2020/02/29 12:00:39
5901024516,2,86,2020/02/29 12:00:39
5901024525,28,1412,2020/02/29 12:00:39
5901024543,0,748,2020/02/29 12:00:39
5901024632,231,420,2020/02/29 12:00:39
5901024669,0,1110,2020/02/29 12:00:39
5901024678,0,574,2020/02/29 12:00:39
5901024687,12,376,2020/02/29 12:00:39
5901024696,400,1186,2020/02/29 12:00:39
5901024703,3,303,2020/02/29 12:00:39
5901024712,4,476,2020/02/29 12:00:39
5901024721,6,798,2020/02/29 12:00:39
5901024758,0,873,2020/02/29 12:00:39
5901024767,0,1032,2020/02/29 12:00:39
5901024810,0,708,2020/02/29 12:00:39
5901024829,70,283,2020/02/29 12:00:39
5901024838,400,1228,2020/02/29 12:00:39
5901024856,512,1448,2020/02/29 12:00:39
5901024865,0,1278,2020/02/29 12:00:39
5901024874,224,750,2020/02/29 12:00:39
5901024883,356,402,2020/02/29 12:00:39
5901024892,0,900,2020/02/29 12:00:39
