醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,476,247,2020/02/12 18:00:34
0291010010,4,56,2020/02/12 18:00:34
2331190019,200,50,2020/02/12 18:00:34
2331240014,0,220,2020/02/12 18:00:34
2331260016,0,98,2020/02/12 18:00:34
2331290014,0,38,2020/02/12 18:00:34
2333070010,0,42,2020/02/12 18:00:34
2333120015,0,162,2020/02/12 18:00:34
2333140017,237,88,2020/02/12 18:00:34
2334110013,73,172,2020/02/12 18:00:34
2335110017,6,74,2020/02/12 18:00:34
2335150011,0,2,2020/02/12 18:00:34
2335170013,0,114,2020/02/12 18:00:34
2335180019,0,152,2020/02/12 18:00:34
2336210034,70,78,2020/02/12 18:00:34
2338070010,0,110,2020/02/12 18:00:34
2338120015,2,102,2020/02/12 18:00:34
2340170016,0,90,2020/02/12 18:00:34
2341140012,400,100,2020/02/12 18:00:34
2341250013,64,212,2020/02/12 18:00:34
2341300018,52,240,2020/02/12 18:00:34
2342130010,0,210,2020/02/12 18:00:34
2342180010,2,36,2020/02/12 18:00:34
2342250017,750,236,2020/02/12 18:00:34
2342260013,858,268,2020/02/12 18:00:34
2342270019,570,144,2020/02/12 18:00:34
2343240015,16,112,2020/02/12 18:00:34
2343260017,898,276,2020/02/12 18:00:34
2343270013,1295,359,2020/02/12 18:00:34
2343280019,0,106,2020/02/12 18:00:34
2343290015,904,258,2020/02/12 18:00:34
2343300016,950,290,2020/02/12 18:00:34
2343320018,918,270,2020/02/12 18:00:34
2343330014,716,224,2020/02/12 18:00:34
2344011036,140,194,2020/02/12 18:00:34
2344030013,20,116,2020/02/12 18:00:34
2344030022,554,234,2020/02/12 18:00:34
2344030031,582,246,2020/02/12 18:00:34
2344050015,262,288,2020/02/12 18:00:34
2344050024,852,304,2020/02/12 18:00:34
2344060011,0,194,2020/02/12 18:00:34
2345100014,0,124,2020/02/12 18:00:34
2345110010,4,0,2020/02/12 18:00:34
2345120016,213,193,2020/02/12 18:00:34
2345130012,161,133,2020/02/12 18:00:34
2346050013,28,80,2020/02/12 18:00:34
2346070015,49,152,2020/02/12 18:00:34
2346110014,62,161,2020/02/12 18:00:34
2346120010,503,188,2020/02/12 18:00:34
2346130016,0,78,2020/02/12 18:00:34
2346140012,776,272,2020/02/12 18:00:34
2346150018,690,210,2020/02/12 18:00:34
2346160014,890,296,2020/02/12 18:00:34
2390040518,0,26,2020/02/12 18:00:34
2390050032,28,64,2020/02/12 18:00:34
2391020010,266,170,2020/02/12 18:00:34
2391030016,1107,312,2020/02/12 18:00:34
2391030026,1081,328,2020/02/12 18:00:34
2391040012,804,312,2020/02/12 18:00:34
5901010058,0,88,2020/02/12 18:00:34
5901010076,0,1,2020/02/12 18:00:34
5901010085,0,24,2020/02/12 18:00:34
5901010094,9,72,2020/02/12 18:00:34
5901010165,0,92,2020/02/12 18:00:34
5901010174,4,50,2020/02/12 18:00:34
5901010192,0,50,2020/02/12 18:00:34
5901010272,0,98,2020/02/12 18:00:34
5901010290,0,78,2020/02/12 18:00:34
5901010496,0,88,2020/02/12 18:00:34
5901010576,0,40,2020/02/12 18:00:34
5901011662,68,174,2020/02/12 18:00:34
5901011699,10,106,2020/02/12 18:00:34
5901011733,2,136,2020/02/12 18:00:34
5901011760,0,154,2020/02/12 18:00:34
5901011975,4,20,2020/02/12 18:00:34
5901012203,0,60,2020/02/12 18:00:34
5901012383,0,164,2020/02/12 18:00:34
5901012409,2,50,2020/02/12 18:00:34
5901012454,0,108,2020/02/12 18:00:34
5901012490,0,69,2020/02/12 18:00:34
5901012507,2,34,2020/02/12 18:00:34
5901012516,0,72,2020/02/12 18:00:34
5901012561,0,88,2020/02/12 18:00:34
5901012570,0,2,2020/02/12 18:00:34
5901012598,12,19,2020/02/12 18:00:34
5901012632,0,32,2020/02/12 18:00:34
5901012650,6,100,2020/02/12 18:00:34
5901012669,44,192,2020/02/12 18:00:34
5901012749,0,114,2020/02/12 18:00:34
5901012758,2,72,2020/02/12 18:00:34
5901012767,0,52,2020/02/12 18:00:34
5901013004,0,138,2020/02/12 18:00:34
5901013095,14,133,2020/02/12 18:00:34
5901013120,15,63,2020/02/12 18:00:34
5901013139,0,67,2020/02/12 18:00:34
5901013148,0,12,2020/02/12 18:00:34
5901013157,0,34,2020/02/12 18:00:34
5901013200,0,57,2020/02/12 18:00:34
5901013246,0,86,2020/02/12 18:00:34
5901013264,2,164,2020/02/12 18:00:34
5901013308,28,34,2020/02/12 18:00:34
5901013326,0,36,2020/02/12 18:00:34
5901013344,0,96,2020/02/12 18:00:34
5901013362,0,50,2020/02/12 18:00:34
5901013371,0,164,2020/02/12 18:00:34
5901013380,1,82,2020/02/12 18:00:34
5901013399,102,64,2020/02/12 18:00:34
5901013406,0,96,2020/02/12 18:00:34
5901013433,0,40,2020/02/12 18:00:34
5901013442,0,160,2020/02/12 18:00:34
5901013451,0,186,2020/02/12 18:00:34
5901013460,0,58,2020/02/12 18:00:34
5901013488,26,172,2020/02/12 18:00:34
5901013497,16,84,2020/02/12 18:00:34
5901013504,0,4,2020/02/12 18:00:34
5901013513,42,42,2020/02/12 18:00:34
5901013522,200,114,2020/02/12 18:00:34
5901020296,4,168,2020/02/12 18:00:34
5901020303,4,84,2020/02/12 18:00:34
5901020376,14,78,2020/02/12 18:00:34
5901020385,0,68,2020/02/12 18:00:34
5901020465,2,56,2020/02/12 18:00:34
5901020563,0,36,2020/02/12 18:00:34
5901020590,198,138,2020/02/12 18:00:34
5901020616,0,86,2020/02/12 18:00:34
5901020634,3,103,2020/02/12 18:00:34
5901020652,0,60,2020/02/12 18:00:34
5901020661,0,66,2020/02/12 18:00:34
5901020670,0,197,2020/02/12 18:00:34
5901020689,102,160,2020/02/12 18:00:34
5901020698,0,98,2020/02/12 18:00:34
5901020732,0,74,2020/02/12 18:00:34
5901020787,0,45,2020/02/12 18:00:34
5901020858,0,62,2020/02/12 18:00:34
5901020876,0,74,2020/02/12 18:00:34
5901020901,8,172,2020/02/12 18:00:34
5901021248,0,2,2020/02/12 18:00:34
5901021346,0,84,2020/02/12 18:00:34
5901021382,0,30,2020/02/12 18:00:34
5901021408,0,150,2020/02/12 18:00:34
5901022521,8,62,2020/02/12 18:00:34
5901022601,0,64,2020/02/12 18:00:34
5901022898,0,40,2020/02/12 18:00:34
5901023073,0,138,2020/02/12 18:00:34
5901023091,214,268,2020/02/12 18:00:34
5901023153,4,190,2020/02/12 18:00:34
5901023215,0,180,2020/02/12 18:00:34
5901023304,6,6,2020/02/12 18:00:34
5901023313,0,130,2020/02/12 18:00:34
5901023331,0,190,2020/02/12 18:00:34
5901023386,12,114,2020/02/12 18:00:34
5901023411,0,18,2020/02/12 18:00:34
5901023519,0,104,2020/02/12 18:00:34
5901023523,0,110,2020/02/12 18:00:34
5901023591,0,88,2020/02/12 18:00:34
5901023653,0,37,2020/02/12 18:00:34
5901023680,32,122,2020/02/12 18:00:34
5901023706,40,160,2020/02/12 18:00:34
5901023724,4,78,2020/02/12 18:00:34
5901023831,0,66,2020/02/12 18:00:34
5901023886,80,20,2020/02/12 18:00:34
5901023902,0,106,2020/02/12 18:00:34
5901023966,0,14,2020/02/12 18:00:34
5901024098,0,64,2020/02/12 18:00:34
5901024114,0,2,2020/02/12 18:00:34
5901024123,22,58,2020/02/12 18:00:34
5901024178,0,85,2020/02/12 18:00:34
5901024212,0,117,2020/02/12 18:00:34
5901024221,0,106,2020/02/12 18:00:34
5901024310,0,52,2020/02/12 18:00:34
5901024347,0,44,2020/02/12 18:00:34
5901024472,0,84,2020/02/12 18:00:34
5901024481,0,14,2020/02/12 18:00:34
5901024490,0,2,2020/02/12 18:00:34
5901024516,0,6,2020/02/12 18:00:34
5901024525,0,98,2020/02/12 18:00:34
5901024543,0,64,2020/02/12 18:00:34
5901024632,0,42,2020/02/12 18:00:34
5901024669,0,144,2020/02/12 18:00:34
5901024678,0,78,2020/02/12 18:00:34
5901024687,0,5,2020/02/12 18:00:34
5901024696,198,152,2020/02/12 18:00:34
5901024703,0,46,2020/02/12 18:00:34
5901024712,0,36,2020/02/12 18:00:34
5901024721,0,72,2020/02/12 18:00:34
5901024758,0,87,2020/02/12 18:00:34
5901024767,2,98,2020/02/12 18:00:34
5901024810,2,31,2020/02/12 18:00:34
5901024829,2,0,2020/02/12 18:00:34
5901024838,8,82,2020/02/12 18:00:34
5901024856,94,86,2020/02/12 18:00:34
5901024865,2,164,2020/02/12 18:00:34
5901024874,2,40,2020/02/12 18:00:34
5901024883,202,70,2020/02/12 18:00:34
5901024892,2,82,2020/02/12 18:00:34
5901024909,0,102,2020/02/12 18:00:34
5901024918,8,16,2020/02/12 18:00:34
5901090074,0,76,2020/02/12 18:00:34
5901090127,0,76,2020/02/12 18:00:34
5901090154,0,34,2020/02/12 18:00:34
5901090181,0,10,2020/02/12 18:00:34
5901090216,6,152,2020/02/12 18:00:34
5901090243,0,56,2020/02/12 18:00:34
5901090289,0,32,2020/02/12 18:00:34
5901090323,0,72,2020/02/12 18:00:34
5901090369,0,30,2020/02/12 18:00:34
5901091473,22,28,2020/02/12 18:00:34
5901091544,0,80,2020/02/12 18:00:34
5901091624,0,44,2020/02/12 18:00:34
