醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,522,291,2020/02/14 18:00:35
0291010010,0,80,2020/02/14 18:00:35
2331240014,0,284,2020/02/14 18:00:35
2331260016,0,152,2020/02/14 18:00:35
2331290014,0,24,2020/02/14 18:00:35
2333070010,0,58,2020/02/14 18:00:35
2333120015,1,202,2020/02/14 18:00:35
2333140017,355,146,2020/02/14 18:00:35
2334110013,37,208,2020/02/14 18:00:35
2335110017,4,90,2020/02/14 18:00:35
2335150011,0,6,2020/02/14 18:00:35
2335170013,0,154,2020/02/14 18:00:35
2335180019,0,174,2020/02/14 18:00:35
2336210034,166,148,2020/02/14 18:00:35
2338070010,0,154,2020/02/14 18:00:35
2338120015,2,120,2020/02/14 18:00:35
2340170016,0,92,2020/02/14 18:00:35
2341140012,400,100,2020/02/14 18:00:35
2341250013,22,248,2020/02/14 18:00:35
2341300018,0,306,2020/02/14 18:00:35
2342130010,0,264,2020/02/14 18:00:35
2342180010,0,50,2020/02/14 18:00:35
2342250017,1018,316,2020/02/14 18:00:35
2342260013,1066,338,2020/02/14 18:00:35
2342270019,800,208,2020/02/14 18:00:35
2343240015,16,100,2020/02/14 18:00:35
2343260017,1028,342,2020/02/14 18:00:35
2343270013,1471,425,2020/02/14 18:00:35
2343280019,0,114,2020/02/14 18:00:35
2343290015,1198,342,2020/02/14 18:00:35
2343300016,1150,362,2020/02/14 18:00:35
2343320018,1198,364,2020/02/14 18:00:35
2343330014,770,222,2020/02/14 18:00:35
2344011036,102,236,2020/02/14 18:00:35
2344030013,20,130,2020/02/14 18:00:35
2344030022,800,320,2020/02/14 18:00:35
2344030031,748,300,2020/02/14 18:00:35
2344050015,300,366,2020/02/14 18:00:35
2344050024,1036,394,2020/02/14 18:00:35
2344060011,0,222,2020/02/14 18:00:35
2345100014,0,160,2020/02/14 18:00:35
2345110010,4,0,2020/02/14 18:00:35
2345120016,137,253,2020/02/14 18:00:35
2345130012,247,193,2020/02/14 18:00:35
2346050013,78,114,2020/02/14 18:00:35
2346070015,67,200,2020/02/14 18:00:35
2346110014,43,215,2020/02/14 18:00:35
2346120010,616,252,2020/02/14 18:00:35
2346130016,0,114,2020/02/14 18:00:35
2346140012,1034,362,2020/02/14 18:00:35
