醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
5905310255,0,22,2020/02/10 18:00:38
5905310264,2,96,2020/02/10 18:00:38
5905310291,1,26,2020/02/10 18:00:38
5905310308,0,40,2020/02/10 18:00:38
5905310326,3,22,2020/02/10 18:00:38
5905310353,2,58,2020/02/10 18:00:38
5905310531,8,28,2020/02/10 18:00:38
5905310540,0,36,2020/02/10 18:00:38
5905310559,34,84,2020/02/10 18:00:38
5905310620,200,108,2020/02/10 18:00:38
5905310639,0,4,2020/02/10 18:00:38
5905310657,14,71,2020/02/10 18:00:38
5905310693,0,50,2020/02/10 18:00:38
5905310746,8,94,2020/02/10 18:00:38
5905310755,0,34,2020/02/10 18:00:38
5905310773,131,88,2020/02/10 18:00:38
5905310791,0,94,2020/02/10 18:00:38
5905310817,0,30,2020/02/10 18:00:38
5905310826,0,50,2020/02/10 18:00:38
5905310835,2,94,2020/02/10 18:00:38
5905310853,2,44,2020/02/10 18:00:38
5905310871,2,28,2020/02/10 18:00:38
5905310880,84,28,2020/02/10 18:00:38
5905310915,4,96,2020/02/10 18:00:38
5905310924,20,62,2020/02/10 18:00:38
5905310933,0,2,2020/02/10 18:00:38
5905310942,180,56,2020/02/10 18:00:38
5905310951,247,158,2020/02/10 18:00:38
5905310960,10,42,2020/02/10 18:00:38
5905310979,0,54,2020/02/10 18:00:38
5905310988,18,96,2020/02/10 18:00:38
5905310997,4,88,2020/02/10 18:00:38
5905311001,22,48,2020/02/10 18:00:38
5905311010,104,26,2020/02/10 18:00:38
5905320019,0,38,2020/02/10 18:00:38
5905320082,4,112,2020/02/10 18:00:38
5905320091,0,18,2020/02/10 18:00:38
5905320135,4,52,2020/02/10 18:00:38
5905320180,198,150,2020/02/10 18:00:38
5905320260,48,16,2020/02/10 18:00:38
5905320279,0,42,2020/02/10 18:00:38
5905320331,2,30,2020/02/10 18:00:38
5905320368,4,86,2020/02/10 18:00:38
5905320386,2,2,2020/02/10 18:00:38
5905320420,0,64,2020/02/10 18:00:38
5905320448,17,69,2020/02/10 18:00:38
5905320466,1,48,2020/02/10 18:00:38
5905320475,0,72,2020/02/10 18:00:38
5905320484,80,82,2020/02/10 18:00:38
5905320519,0,98,2020/02/10 18:00:38
5905320537,0,64,2020/02/10 18:00:38
5905320546,28,106,2020/02/10 18:00:38
5905320555,2,60,2020/02/10 18:00:38
5905320564,4,88,2020/02/10 18:00:38
5905320582,0,36,2020/02/10 18:00:38
5905320608,102,82,2020/02/10 18:00:38
5905320626,0,40,2020/02/10 18:00:38
5905320635,2,46,2020/02/10 18:00:38
5905320644,86,98,2020/02/10 18:00:38
5905320653,39,44,2020/02/10 18:00:38
5905320662,0,56,2020/02/10 18:00:38
5905320680,66,62,2020/02/10 18:00:38
5905320699,0,32,2020/02/10 18:00:38
5905320706,40,90,2020/02/10 18:00:38
5905320715,13,64,2020/02/10 18:00:38
5905320724,202,180,2020/02/10 18:00:38
5905320733,198,186,2020/02/10 18:00:38
5905330024,0,84,2020/02/10 18:00:38
5905330097,2,63,2020/02/10 18:00:38
5905330113,0,106,2020/02/10 18:00:38
5905330140,8,114,2020/02/10 18:00:38
5905330159,0,30,2020/02/10 18:00:38
5905330168,0,52,2020/02/10 18:00:38
5905330186,0,12,2020/02/10 18:00:38
5905330239,2,56,2020/02/10 18:00:38
5905330275,2,44,2020/02/10 18:00:38
5905330284,194,126,2020/02/10 18:00:38
5905330300,74,76,2020/02/10 18:00:38
5905330337,0,40,2020/02/10 18:00:38
5905330346,0,64,2020/02/10 18:00:38
5905330355,204,70,2020/02/10 18:00:38
5905340011,3,58,2020/02/10 18:00:38
5905340020,32,155,2020/02/10 18:00:38
5905340057,0,94,2020/02/10 18:00:38
5905340075,2,128,2020/02/10 18:00:38
5905340137,40,138,2020/02/10 18:00:38
5905340155,0,56,2020/02/10 18:00:38
5905340164,0,18,2020/02/10 18:00:38
5905340173,0,64,2020/02/10 18:00:38
5905340226,0,108,2020/02/10 18:00:38
5905340235,0,42,2020/02/10 18:00:38
5905340253,18,82,2020/02/10 18:00:38
5905340262,71,130,2020/02/10 18:00:38
5905350017,15,48,2020/02/10 18:00:38
5905350026,0,36,2020/02/10 18:00:38
5905350035,0,20,2020/02/10 18:00:38
5905350062,14,68,2020/02/10 18:00:38
5905350080,112,104,2020/02/10 18:00:38
5905350099,204,158,2020/02/10 18:00:38
5905350133,6,64,2020/02/10 18:00:38
5905350142,0,68,2020/02/10 18:00:38
5905350151,22,62,2020/02/10 18:00:38
5905350179,0,72,2020/02/10 18:00:38
5905350231,0,110,2020/02/10 18:00:38
5905350240,4,54,2020/02/10 18:00:38
5905350259,200,50,2020/02/10 18:00:38
5905350268,58,110,2020/02/10 18:00:38
5905350302,102,160,2020/02/10 18:00:38
5905350311,76,78,2020/02/10 18:00:38
5905350339,6,24,2020/02/10 18:00:38
5905350348,0,22,2020/02/10 18:00:38
5905350366,0,62,2020/02/10 18:00:38
5905350384,0,40,2020/02/10 18:00:38
5905350393,6,4,2020/02/10 18:00:38
5905350428,0,36,2020/02/10 18:00:38
5905350446,18,122,2020/02/10 18:00:38
5905350464,0,48,2020/02/10 18:00:38
5905350473,39,0,2020/02/10 18:00:38
5905350482,36,88,2020/02/10 18:00:38
5905370064,0,24,2020/02/10 18:00:38
5905370135,0,8,2020/02/10 18:00:38
5905370144,0,24,2020/02/10 18:00:38
5905370180,0,30,2020/02/10 18:00:38
5905370206,0,20,2020/02/10 18:00:38
5905370215,0,30,2020/02/10 18:00:38
5905370224,0,62,2020/02/10 18:00:38
5905370233,13,6,2020/02/10 18:00:38
5905370260,0,44,2020/02/10 18:00:38
5905370279,27,76,2020/02/10 18:00:38
5905370304,200,44,2020/02/10 18:00:38
5905370322,0,20,2020/02/10 18:00:38
5905370331,0,12,2020/02/10 18:00:38
5905370340,32,64,2020/02/10 18:00:38
5905370359,8,24,2020/02/10 18:00:38
5905380015,39,107,2020/02/10 18:00:38
5905380051,0,72,2020/02/10 18:00:38
5905380097,0,34,2020/02/10 18:00:38
5905380113,0,72,2020/02/10 18:00:38
5905380122,3,105,2020/02/10 18:00:38
5905380140,49,22,2020/02/10 18:00:38
5905380159,32,104,2020/02/10 18:00:38
5905380168,64,74,2020/02/10 18:00:38
5905380177,0,73,2020/02/10 18:00:38
5905380195,16,40,2020/02/10 18:00:38
5905380239,117,23,2020/02/10 18:00:38
5905380248,88,80,2020/02/10 18:00:38
5905380266,0,20,2020/02/10 18:00:38
5907010043,2,8,2020/02/10 18:00:38
5907010098,16,56,2020/02/10 18:00:38
5907010141,0,62,2020/02/10 18:00:38
5907010150,0,60,2020/02/10 18:00:38
5907010169,8,30,2020/02/10 18:00:38
5907010178,0,50,2020/02/10 18:00:38
5907010187,9,106,2020/02/10 18:00:38
5907010203,0,74,2020/02/10 18:00:38
5907010212,6,20,2020/02/10 18:00:38
5907010267,1,42,2020/02/10 18:00:38
5907010276,8,38,2020/02/10 18:00:38
5907010285,0,86,2020/02/10 18:00:38
5907010301,0,74,2020/02/10 18:00:38
5907010365,28,62,2020/02/10 18:00:38
5907010409,2,22,2020/02/10 18:00:38
5907010427,0,72,2020/02/10 18:00:38
5907010454,0,74,2020/02/10 18:00:38
5907010525,66,78,2020/02/10 18:00:38
5907010534,0,86,2020/02/10 18:00:38
5907010669,54,70,2020/02/10 18:00:38
5907010721,3,72,2020/02/10 18:00:38
5907010730,3,4,2020/02/10 18:00:38
5907010810,0,2,2020/02/10 18:00:38
5907010829,10,14,2020/02/10 18:00:38
5907010883,194,58,2020/02/10 18:00:38
5907010927,0,72,2020/02/10 18:00:38
5907010936,6,148,2020/02/10 18:00:38
5907010945,6,58,2020/02/10 18:00:38
5907010963,12,28,2020/02/10 18:00:38
5907010981,16,74,2020/02/10 18:00:38
5907011004,0,74,2020/02/10 18:00:38
5907011031,0,72,2020/02/10 18:00:38
5907011040,0,12,2020/02/10 18:00:38
5907011068,48,32,2020/02/10 18:00:38
5907011086,48,140,2020/02/10 18:00:38
5907011095,0,40,2020/02/10 18:00:38
5907011102,6,46,2020/02/10 18:00:38
5907011111,0,86,2020/02/10 18:00:38
5907011139,2,114,2020/02/10 18:00:38
5907011148,192,80,2020/02/10 18:00:38
5907011166,4,66,2020/02/10 18:00:38
5907011175,0,68,2020/02/10 18:00:38
5907011184,0,64,2020/02/10 18:00:38
5907011193,12,14,2020/02/10 18:00:38
5907011200,4,8,2020/02/10 18:00:38
5907011219,0,87,2020/02/10 18:00:38
5907011228,2,42,2020/02/10 18:00:38
5907011237,200,106,2020/02/10 18:00:38
5907011264,0,40,2020/02/10 18:00:38
5907011273,0,56,2020/02/10 18:00:38
5907011291,0,18,2020/02/10 18:00:38
5907020021,0,12,2020/02/10 18:00:38
5907020030,0,18,2020/02/10 18:00:38
5907030072,1,58,2020/02/10 18:00:38
5907030090,1,40,2020/02/10 18:00:38
5907030107,108,114,2020/02/10 18:00:38
5907030116,0,19,2020/02/10 18:00:38
5907030125,200,168,2020/02/10 18:00:38
5907040014,0,28,2020/02/10 18:00:38
5907040023,0,78,2020/02/10 18:00:38
5907050010,0,10,2020/02/10 18:00:38
5907050029,0,12,2020/02/10 18:00:38
5907050047,6,0,2020/02/10 18:00:38
5907050056,10,42,2020/02/10 18:00:38
5907050065,0,12,2020/02/10 18:00:38
5907050074,196,50,2020/02/10 18:00:38
5907060034,0,4,2020/02/10 18:00:38
5907060043,0,112,2020/02/10 18:00:38
5907060098,0,7,2020/02/10 18:00:38
5907060132,18,80,2020/02/10 18:00:38
5907060178,0,8,2020/02/10 18:00:38
5907060187,0,10,2020/02/10 18:00:38
5907060212,200,102,2020/02/10 18:00:38
5907060221,0,154,2020/02/10 18:00:38
5907060230,0,106,2020/02/10 18:00:38
5907070012,34,16,2020/02/10 18:00:38
5907070021,6,93,2020/02/10 18:00:38
5907080018,32,58,2020/02/10 18:00:38
5907080081,14,80,2020/02/10 18:00:38
5907080134,0,68,2020/02/10 18:00:38
5907080170,0,32,2020/02/10 18:00:38
5907080189,0,6,2020/02/10 18:00:38
5907080214,6,20,2020/02/10 18:00:38
5907080223,0,4,2020/02/10 18:00:38
5907080232,401,146,2020/02/10 18:00:38
5907080250,20,26,2020/02/10 18:00:38
5907080269,0,28,2020/02/10 18:00:38
5907080278,98,28,2020/02/10 18:00:38
5907080296,0,32,2020/02/10 18:00:38
5907090032,0,46,2020/02/10 18:00:38
5907090069,0,12,2020/02/10 18:00:38
5907090087,0,34,2020/02/10 18:00:38
5907100088,0,78,2020/02/10 18:00:38
5907110048,4,98,2020/02/10 18:00:38
5907110066,2,18,2020/02/10 18:00:38
5907110075,0,6,2020/02/10 18:00:38
5907110084,0,2,2020/02/10 18:00:38
5907110093,0,10,2020/02/10 18:00:38
5907110146,0,10,2020/02/10 18:00:38
5907110155,2,36,2020/02/10 18:00:38
5907120017,2,2,2020/02/10 18:00:38
5907120026,0,56,2020/02/10 18:00:38
5907140019,0,54,2020/02/10 18:00:38
5907140108,0,34,2020/02/10 18:00:38
5907140117,0,54,2020/02/10 18:00:38
5907140126,4,4,2020/02/10 18:00:38
5907150024,0,6,2020/02/10 18:00:38
5907150060,80,54,2020/02/10 18:00:38
5907150097,2,0,2020/02/10 18:00:38
5907150122,0,4,2020/02/10 18:00:38
5907150202,0,7,2020/02/10 18:00:38
5907150220,2,10,2020/02/10 18:00:38
5907150239,0,14,2020/02/10 18:00:38
5907150248,1,10,2020/02/10 18:00:38
5907160020,2,6,2020/02/10 18:00:38
5907160039,1,14,2020/02/10 18:00:38
5907160048,0,18,2020/02/10 18:00:38
5907160066,0,12,2020/02/10 18:00:38
5907160075,0,26,2020/02/10 18:00:38
5907200010,0,12,2020/02/10 18:00:38
5907200038,0,32,2020/02/10 18:00:38
5907200047,4,34,2020/02/10 18:00:38
5907200065,0,32,2020/02/10 18:00:38
5907210016,0,14,2020/02/10 18:00:38
5907210034,150,124,2020/02/10 18:00:38
5907230018,0,36,2020/02/10 18:00:38
5907240014,52,92,2020/02/10 18:00:38
5907280027,0,8,2020/02/10 18:00:38
5907290023,24,16,2020/02/10 18:00:38
5907290050,0,18,2020/02/10 18:00:38
5907290103,0,44,2020/02/10 18:00:38
5907290112,12,99,2020/02/10 18:00:38
5907290121,0,76,2020/02/10 18:00:38
5907290158,0,32,2020/02/10 18:00:38
5907290176,0,56,2020/02/10 18:00:38
5907290201,0,96,2020/02/10 18:00:38
5907290229,164,58,2020/02/10 18:00:38
5907290238,20,2,2020/02/10 18:00:38
5907290265,39,22,2020/02/10 18:00:38
5907290274,0,4,2020/02/10 18:00:38
5907300024,2,74,2020/02/10 18:00:38
5907300033,2,48,2020/02/10 18:00:38
5907300042,0,42,2020/02/10 18:00:38
5907300088,4,21,2020/02/10 18:00:38
5907300104,0,38,2020/02/10 18:00:38
5907300168,6,24,2020/02/10 18:00:38
5907300177,24,58,2020/02/10 18:00:38
5907300211,0,82,2020/02/10 18:00:38
5907300239,1,30,2020/02/10 18:00:38
5907300300,0,48,2020/02/10 18:00:38
5907300319,0,52,2020/02/10 18:00:38
5907300337,26,82,2020/02/10 18:00:38
5907300346,0,54,2020/02/10 18:00:38
5907300408,0,58,2020/02/10 18:00:38
5907300417,0,94,2020/02/10 18:00:38
5907300506,0,32,2020/02/10 18:00:38
5907300515,0,62,2020/02/10 18:00:38
5907300588,12,82,2020/02/10 18:00:38
5907300613,11,66,2020/02/10 18:00:38
5907300631,0,16,2020/02/10 18:00:38
5907300659,6,60,2020/02/10 18:00:38
5907300668,8,71,2020/02/10 18:00:38
5907300677,0,128,2020/02/10 18:00:38
5907300686,200,116,2020/02/10 18:00:38
5907300702,8,82,2020/02/10 18:00:38
5907300711,100,86,2020/02/10 18:00:38
5907300739,0,64,2020/02/10 18:00:38
5907300748,0,96,2020/02/10 18:00:38
5907300757,2,32,2020/02/10 18:00:38
5907300766,4,26,2020/02/10 18:00:38
5907300775,80,144,2020/02/10 18:00:38
5907300784,2,90,2020/02/10 18:00:38
5907300793,2,22,2020/02/10 18:00:38
5907300800,1,56,2020/02/10 18:00:38
5907300819,6,10,2020/02/10 18:00:38
5907300837,12,130,2020/02/10 18:00:38
5907300855,0,36,2020/02/10 18:00:38
5907300882,18,116,2020/02/10 18:00:38
5907300891,27,28,2020/02/10 18:00:38
5907300908,42,56,2020/02/10 18:00:38
5907310020,14,4,2020/02/10 18:00:38
5907310048,0,64,2020/02/10 18:00:38
5907310137,186,69,2020/02/10 18:00:38
5907310173,4,70,2020/02/10 18:00:38
5907310235,0,36,2020/02/10 18:00:38
5907310262,200,94,2020/02/10 18:00:38
5907310271,2,14,2020/02/10 18:00:38
5907310280,2,34,2020/02/10 18:00:38
5907310299,4,10,2020/02/10 18:00:38
5907310306,106,62,2020/02/10 18:00:38
5907310315,4,36,2020/02/10 18:00:38
5907310342,0,28,2020/02/10 18:00:38
5907310351,2,76,2020/02/10 18:00:38
5907310360,6,18,2020/02/10 18:00:38
5907310379,0,28,2020/02/10 18:00:38
5907320062,0,18,2020/02/10 18:00:38
5907320133,2,52,2020/02/10 18:00:38
5907320179,10,32,2020/02/10 18:00:38
5907320259,0,116,2020/02/10 18:00:38
5907320295,20,38,2020/02/10 18:00:38
5907320302,54,84,2020/02/10 18:00:38
5907320339,30,74,2020/02/10 18:00:38
5907320375,6,76,2020/02/10 18:00:38
5907320400,2,46,2020/02/10 18:00:38
5907320419,66,120,2020/02/10 18:00:38
5907320428,0,98,2020/02/10 18:00:38
5907320437,0,8,2020/02/10 18:00:38
5907320464,0,96,2020/02/10 18:00:38
5907320535,97,94,2020/02/10 18:00:38
5907320553,94,86,2020/02/10 18:00:38
5907320562,0,76,2020/02/10 18:00:38
5907320571,4,36,2020/02/10 18:00:38
5907320580,0,54,2020/02/10 18:00:38
5907320633,0,56,2020/02/10 18:00:38
5907320679,2,104,2020/02/10 18:00:38
5907320688,94,100,2020/02/10 18:00:38
5907320697,0,42,2020/02/10 18:00:38
5907320704,1,81,2020/02/10 18:00:38
5907320722,0,78,2020/02/10 18:00:38
5907320740,4,48,2020/02/10 18:00:38
5907320768,32,90,2020/02/10 18:00:38
5907320777,136,90,2020/02/10 18:00:38
5907320795,30,48,2020/02/10 18:00:38
5907320802,0,28,2020/02/10 18:00:38
5907320811,0,4,2020/02/10 18:00:38
5907320848,0,22,2020/02/10 18:00:38
5907320857,16,124,2020/02/10 18:00:38
5907320866,0,30,2020/02/10 18:00:38
5907320875,6,84,2020/02/10 18:00:38
5907320884,200,152,2020/02/10 18:00:38
5907320893,200,72,2020/02/10 18:00:38
5907320900,4,80,2020/02/10 18:00:38
5907320919,46,86,2020/02/10 18:00:38
5907320928,10,34,2020/02/10 18:00:38
5907320946,10,16,2020/02/10 18:00:38
5907320955,0,56,2020/02/10 18:00:38
5907320964,100,120,2020/02/10 18:00:38
5907330031,0,26,2020/02/10 18:00:38
5907330040,2,76,2020/02/10 18:00:38
5907330095,16,86,2020/02/10 18:00:38
5907330120,1,106,2020/02/10 18:00:38
5907330139,0,3,2020/02/10 18:00:38
5907330148,0,30,2020/02/10 18:00:38
5907330166,0,100,2020/02/10 18:00:38
5907340019,36,152,2020/02/10 18:00:38
5907340046,0,34,2020/02/10 18:00:38
5907340091,2,66,2020/02/10 18:00:38
5907350015,0,38,2020/02/10 18:00:38
5907350079,116,110,2020/02/10 18:00:38
5907350113,0,30,2020/02/10 18:00:38
5907350177,0,108,2020/02/10 18:00:38
5907350186,0,62,2020/02/10 18:00:38
5907350195,0,22,2020/02/10 18:00:38
5907350220,0,46,2020/02/10 18:00:38
5907350239,0,84,2020/02/10 18:00:38
5907350266,2,22,2020/02/10 18:00:38
5907350293,0,148,2020/02/10 18:00:38
5907350300,6,80,2020/02/10 18:00:38
5907350319,0,46,2020/02/10 18:00:38
5907350328,0,56,2020/02/10 18:00:38
5907350346,0,16,2020/02/10 18:00:38
5907350364,14,106,2020/02/10 18:00:38
5907350417,155,146,2020/02/10 18:00:38
5907350435,22,52,2020/02/10 18:00:38
5907350480,20,68,2020/02/10 18:00:38
5907350499,0,34,2020/02/10 18:00:38
5907350506,204,128,2020/02/10 18:00:38
5907350533,18,68,2020/02/10 18:00:38
5907350551,6,48,2020/02/10 18:00:38
5907350560,0,22,2020/02/10 18:00:38
5907360137,44,56,2020/02/10 18:00:38
5907360146,16,27,2020/02/10 18:00:38
5907360191,1,66,2020/02/10 18:00:38
5907360226,0,28,2020/02/10 18:00:38
5907360324,1,22,2020/02/10 18:00:38
5907360333,0,46,2020/02/10 18:00:38
5907360351,0,34,2020/02/10 18:00:38
5907360360,2,54,2020/02/10 18:00:38
5907360379,1,46,2020/02/10 18:00:38
5907360388,0,18,2020/02/10 18:00:38
5907360413,0,20,2020/02/10 18:00:38
5907360431,3,16,2020/02/10 18:00:38
5907360440,10,28,2020/02/10 18:00:38
5907360459,0,78,2020/02/10 18:00:38
5907360520,400,232,2020/02/10 18:00:38
5907360548,22,94,2020/02/10 18:00:38
5907360566,27,101,2020/02/10 18:00:38
5907360575,0,42,2020/02/10 18:00:38
5907360584,21,75,2020/02/10 18:00:38
5907360600,2,10,2020/02/10 18:00:38
5907360619,0,28,2020/02/10 18:00:38
5907370053,0,38,2020/02/10 18:00:38
5907370062,0,124,2020/02/10 18:00:38
5907380040,4,0,2020/02/10 18:00:38
5907380077,0,50,2020/02/10 18:00:38
5907380175,78,44,2020/02/10 18:00:38
5907380184,6,0,2020/02/10 18:00:38
5907380255,6,34,2020/02/10 18:00:38
5907380264,200,50,2020/02/10 18:00:38
5907380291,4,26,2020/02/10 18:00:38
5907380317,4,22,2020/02/10 18:00:38
5907380326,0,16,2020/02/10 18:00:38
5911010015,8,50,2020/02/10 18:00:38
5911010097,0,12,2020/02/10 18:00:38
5911010168,0,2,2020/02/10 18:00:38
5911011227,0,39,2020/02/10 18:00:38
5911011290,0,49,2020/02/10 18:00:38
5911011325,4,186,2020/02/10 18:00:38
5911011334,2,28,2020/02/10 18:00:38
5911011370,0,130,2020/02/10 18:00:38
5911011450,4,68,2020/02/10 18:00:38
5911011469,0,44,2020/02/10 18:00:38
5911011478,0,38,2020/02/10 18:00:38
5911011496,0,60,2020/02/10 18:00:38
5911011512,0,67,2020/02/10 18:00:38
5911011521,0,102,2020/02/10 18:00:38
5911011530,0,104,2020/02/10 18:00:38
5911011576,0,50,2020/02/10 18:00:38
5911011585,2,56,2020/02/10 18:00:38
5911011601,0,19,2020/02/10 18:00:38
5911011610,0,46,2020/02/10 18:00:38
5911020039,0,13,2020/02/10 18:00:38
5911021170,2,82,2020/02/10 18:00:38
5911021214,0,16,2020/02/10 18:00:38
5911021287,2,46,2020/02/10 18:00:38
5911021401,2,34,2020/02/10 18:00:38
5911021429,0,4,2020/02/10 18:00:38
5911030026,0,30,2020/02/10 18:00:38
5911030035,2,14,2020/02/10 18:00:38
5911030053,2,38,2020/02/10 18:00:38
5911031096,0,46,2020/02/10 18:00:38
5911031158,0,44,2020/02/10 18:00:38
5911031176,23,42,2020/02/10 18:00:38
5911031238,1,74,2020/02/10 18:00:38
5911031274,0,20,2020/02/10 18:00:38
5911031292,36,8,2020/02/10 18:00:38
5911040175,22,88,2020/02/10 18:00:38
5911040200,0,116,2020/02/10 18:00:38
5911040228,0,24,2020/02/10 18:00:38
5911040273,0,118,2020/02/10 18:00:38
5911041305,0,30,2020/02/10 18:00:38
5911041332,196,74,2020/02/10 18:00:38
5911041350,28,106,2020/02/10 18:00:38
5911041387,0,52,2020/02/10 18:00:38
5911041403,4,72,2020/02/10 18:00:38
5911041510,1,106,2020/02/10 18:00:38
5911041618,4,97,2020/02/10 18:00:38
5911041690,2,36,2020/02/10 18:00:38
5911041805,4,18,2020/02/10 18:00:38
5911041823,0,60,2020/02/10 18:00:38
5911041832,0,42,2020/02/10 18:00:38
5911041878,0,30,2020/02/10 18:00:38
5911041903,0,38,2020/02/10 18:00:38
5911041921,0,78,2020/02/10 18:00:38
5911041930,0,129,2020/02/10 18:00:38
5911041949,3,80,2020/02/10 18:00:38
5911041958,18,48,2020/02/10 18:00:38
5911041967,0,53,2020/02/10 18:00:38
5911050037,1,0,2020/02/10 18:00:38
5911050064,0,82,2020/02/10 18:00:38
5911050073,1,78,2020/02/10 18:00:38
5911050153,2,32,2020/02/10 18:00:38
5911050162,182,86,2020/02/10 18:00:38
5911051258,199,114,2020/02/10 18:00:38
5911051267,1,76,2020/02/10 18:00:38
5911051365,0,38,2020/02/10 18:00:38
5911051392,0,4,2020/02/10 18:00:38
5911051409,4,120,2020/02/10 18:00:38
5911051463,0,40,2020/02/10 18:00:38
5911051472,0,42,2020/02/10 18:00:38
5911051481,0,29,2020/02/10 18:00:38
5911051490,0,179,2020/02/10 18:00:38
5911051507,2,32,2020/02/10 18:00:38
5911060015,0,12,2020/02/10 18:00:38
5911060051,0,4,2020/02/10 18:00:38
5911060079,0,44,2020/02/10 18:00:38
5911060088,0,34,2020/02/10 18:00:38
5911061156,0,68,2020/02/10 18:00:38
5911061236,0,46,2020/02/10 18:00:38
5911061307,8,58,2020/02/10 18:00:38
5911061316,0,74,2020/02/10 18:00:38
5911061334,0,28,2020/02/10 18:00:38
5911061343,16,0,2020/02/10 18:00:38
5911070011,0,102,2020/02/10 18:00:38
5911071170,0,114,2020/02/10 18:00:38
5911071376,4,74,2020/02/10 18:00:38
5911071447,0,55,2020/02/10 18:00:38
5911071456,0,32,2020/02/10 18:00:38
5911071483,0,6,2020/02/10 18:00:38
5911071536,10,41,2020/02/10 18:00:38
5911071572,4,0,2020/02/10 18:00:38
5911071581,2,158,2020/02/10 18:00:38
5911071590,0,22,2020/02/10 18:00:38
5912010046,0,6,2020/02/10 18:00:38
5912010206,80,38,2020/02/10 18:00:38
5912010215,26,2,2020/02/10 18:00:38
5912010224,0,12,2020/02/10 18:00:38
5912010313,0,4,2020/02/10 18:00:38
5912010322,6,80,2020/02/10 18:00:38
5912010484,0,4,2020/02/10 18:00:38
5912010779,0,126,2020/02/10 18:00:38
5912012022,0,34,2020/02/10 18:00:38
5912012059,0,2,2020/02/10 18:00:38
5912012077,0,58,2020/02/10 18:00:38
5912012120,190,50,2020/02/10 18:00:38
5912012148,0,94,2020/02/10 18:00:38
5912012157,3,0,2020/02/10 18:00:38
5912012291,0,2,2020/02/10 18:00:38
5912012308,0,2,2020/02/10 18:00:38
5912012353,0,1,2020/02/10 18:00:38
5912012406,0,25,2020/02/10 18:00:38
5912012433,0,14,2020/02/10 18:00:38
5912012479,0,46,2020/02/10 18:00:38
5912012531,0,2,2020/02/10 18:00:38
5912012569,6,0,2020/02/10 18:00:38
5912012620,0,20,2020/02/10 18:00:38
5912012666,0,6,2020/02/10 18:00:38
5912012746,1,32,2020/02/10 18:00:38
5912012764,0,88,2020/02/10 18:00:38
5912012773,15,0,2020/02/10 18:00:38
5912012844,10,60,2020/02/10 18:00:38
5912012933,0,18,2020/02/10 18:00:38
5912012942,0,30,2020/02/10 18:00:38
5912012988,2,7,2020/02/10 18:00:38
5912013083,0,38,2020/02/10 18:00:38
5912013092,0,26,2020/02/10 18:00:38
5912013154,6,42,2020/02/10 18:00:38
5912013163,0,2,2020/02/10 18:00:38
5912013181,36,22,2020/02/10 18:00:38
5912013225,3,0,2020/02/10 18:00:38
5912013234,0,20,2020/02/10 18:00:38
5912013252,0,12,2020/02/10 18:00:38
5912013261,0,6,2020/02/10 18:00:38
5912013341,0,28,2020/02/10 18:00:38
5912013350,18,42,2020/02/10 18:00:38
5912013378,212,36,2020/02/10 18:00:38
5912013387,2,0,2020/02/10 18:00:38
5912013396,1,3,2020/02/10 18:00:38
5912013412,0,17,2020/02/10 18:00:38
5912040035,0,50,2020/02/10 18:00:38
5912040080,0,26,2020/02/10 18:00:38
5912040106,0,20,2020/02/10 18:00:38
5912040188,0,34,2020/02/10 18:00:38
5912040197,0,2,2020/02/10 18:00:38
5912040222,16,6,2020/02/10 18:00:38
5912040473,0,20,2020/02/10 18:00:38
5912040491,0,48,2020/02/10 18:00:38
5912040553,8,22,2020/02/10 18:00:38
5912041685,6,30,2020/02/10 18:00:38
5912041738,14,0,2020/02/10 18:00:38
5912041827,0,4,2020/02/10 18:00:38
5912041881,0,39,2020/02/10 18:00:38
5912041952,8,14,2020/02/10 18:00:38
5912042066,26,34,2020/02/10 18:00:38
5912042098,12,0,2020/02/10 18:00:38
5912042155,7,20,2020/02/10 18:00:38
5912042217,0,4,2020/02/10 18:00:38
5912042351,0,68,2020/02/10 18:00:38
5912042422,0,12,2020/02/10 18:00:38
5912042459,0,26,2020/02/10 18:00:38
5912042637,8,5,2020/02/10 18:00:38
5912042664,0,18,2020/02/10 18:00:38
5912042673,10,10,2020/02/10 18:00:38
5912042708,0,22,2020/02/10 18:00:38
5912042717,0,10,2020/02/10 18:00:38
5912042726,6,16,2020/02/10 18:00:38
5912042735,203,63,2020/02/10 18:00:38
5912042744,0,1,2020/02/10 18:00:38
5912042762,200,54,2020/02/10 18:00:38
5912050040,5,0,2020/02/10 18:00:38
5912051350,1,0,2020/02/10 18:00:38
5912051396,0,14,2020/02/10 18:00:38
5912051412,0,38,2020/02/10 18:00:38
5917010046,0,100,2020/02/10 18:00:38
5917010126,0,104,2020/02/10 18:00:38
5917010215,0,116,2020/02/10 18:00:38
5917010279,112,146,2020/02/10 18:00:38
5917011847,0,66,2020/02/10 18:00:38
5917011927,12,136,2020/02/10 18:00:38
5917011934,0,162,2020/02/10 18:00:38
5917011945,0,132,2020/02/10 18:00:38
5917020097,0,112,2020/02/10 18:00:38
5917020104,0,32,2020/02/10 18:00:38
5917020122,0,40,2020/02/10 18:00:38
5917020186,0,8,2020/02/10 18:00:38
5917020211,0,36,2020/02/10 18:00:38
5917020337,0,56,2020/02/10 18:00:38
