醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,1820,1072,2020/02/23 10:00:38
0291010010,128,412,2020/02/23 10:00:38
2101010013,179,458,2020/02/23 10:00:38
2101020019,82,320,2020/02/23 10:00:38
2101090011,66,240,2020/02/23 10:00:38
2101100227,0,335,2020/02/23 10:00:38
2101110027,11,292,2020/02/23 10:00:38
2101120014,215,440,2020/02/23 10:00:38
2101150012,137,339,2020/02/23 10:00:38
2101161033,94,380,2020/02/23 10:00:38
2101170050,158,420,2020/02/23 10:00:38
2101180038,52,360,2020/02/23 10:00:38
2101191068,0,320,2020/02/23 10:00:38
2101200017,95,488,2020/02/23 10:00:38
2303240013,850,694,2020/02/23 10:00:38
2311010010,405,743,2020/02/23 10:00:38
2311020016,144,657,2020/02/23 10:00:38
2311030012,620,786,2020/02/23 10:00:38
2311040018,254,754,2020/02/23 10:00:38
2311050014,586,736,2020/02/23 10:00:38
2311060010,16,132,2020/02/23 10:00:38
2311070016,653,891,2020/02/23 10:00:38
2312010014,0,344,2020/02/23 10:00:38
2312041028,0,208,2020/02/23 10:00:38
2312050018,18,288,2020/02/23 10:00:38
2317020010,220,516,2020/02/23 10:00:38
2317040012,4,408,2020/02/23 10:00:38
2317050018,542,656,2020/02/23 10:00:38
2317060014,614,730,2020/02/23 10:00:38
2317070010,204,438,2020/02/23 10:00:38
2317080016,592,690,2020/02/23 10:00:38
2317081022,242,608,2020/02/23 10:00:38
2321010013,712,600,2020/02/23 10:00:38
2321020019,458,662,2020/02/23 10:00:38
2321030015,1349,831,2020/02/23 10:00:38
2321040011,980,663,2020/02/23 10:00:38
2321060013,910,736,2020/02/23 10:00:38
2321070019,434,470,2020/02/23 10:00:38
2322010017,1017,712,2020/02/23 10:00:38
2322020013,658,636,2020/02/23 10:00:38
2331070012,74,328,2020/02/23 10:00:38
2331080018,15,362,2020/02/23 10:00:38
2331090014,194,544,2020/02/23 10:00:38
2331100015,122,398,2020/02/23 10:00:38
2331120017,14,488,2020/02/23 10:00:38
2331150015,224,384,2020/02/23 10:00:38
2331160011,452,458,2020/02/23 10:00:38
2331170017,326,362,2020/02/23 10:00:38
2331180013,186,654,2020/02/23 10:00:38
2331190019,422,672,2020/02/23 10:00:38
2331200010,12,208,2020/02/23 10:00:38
2331210016,0,163,2020/02/23 10:00:38
2331220012,574,708,2020/02/23 10:00:38
2331230018,34,332,2020/02/23 10:00:38
2331240014,116,1020,2020/02/23 10:00:38
2331250010,566,780,2020/02/23 10:00:38
2331260016,4,616,2020/02/23 10:00:38
2331270012,26,534,2020/02/23 10:00:38
2331280018,162,665,2020/02/23 10:00:38
2331290014,379,476,2020/02/23 10:00:38
2332030012,57,408,2020/02/23 10:00:38
2332040018,286,468,2020/02/23 10:00:38
2332060010,264,584,2020/02/23 10:00:38
2332080012,68,320,2020/02/23 10:00:38
2332090018,72,424,2020/02/23 10:00:38
2332100019,164,412,2020/02/23 10:00:38
2332110015,16,258,2020/02/23 10:00:38
2332120011,646,698,2020/02/23 10:00:38
2332130017,320,352,2020/02/23 10:00:38
2333070010,36,272,2020/02/23 10:00:38
2333100013,1,244,2020/02/23 10:00:38
2333110019,144,636,2020/02/23 10:00:38
2333120015,257,725,2020/02/23 10:00:38
2333130011,964,656,2020/02/23 10:00:38
2333140017,1292,755,2020/02/23 10:00:38
2334010018,428,623,2020/02/23 10:00:38
2334020014,306,730,2020/02/23 10:00:38
2334030010,620,656,2020/02/23 10:00:38
2334040016,444,620,2020/02/23 10:00:38
2334050012,138,430,2020/02/23 10:00:38
2334060018,165,369,2020/02/23 10:00:38
2334070014,632,706,2020/02/23 10:00:38
2334081026,160,592,2020/02/23 10:00:38
2334090016,602,613,2020/02/23 10:00:38
2334100017,132,522,2020/02/23 10:00:38
2334110013,471,746,2020/02/23 10:00:38
2334120019,800,614,2020/02/23 10:00:38
2335010012,498,650,2020/02/23 10:00:38
2335020018,2,498,2020/02/23 10:00:38
2335030014,4,182,2020/02/23 10:00:38
2335040010,0,283,2020/02/23 10:00:38
2335050016,0,156,2020/02/23 10:00:38
2335060012,510,704,2020/02/23 10:00:38
2335070018,606,660,2020/02/23 10:00:38
2335080014,358,360,2020/02/23 10:00:38
2335090010,8,174,2020/02/23 10:00:38
2335100011,304,340,2020/02/23 10:00:38
2335110017,148,406,2020/02/23 10:00:38
2335120013,236,458,2020/02/23 10:00:38
2335130019,14,500,2020/02/23 10:00:38
2335140015,640,700,2020/02/23 10:00:38
2335150011,2,135,2020/02/23 10:00:38
2335160017,173,500,2020/02/23 10:00:38
2335170013,236,688,2020/02/23 10:00:38
2335180019,0,301,2020/02/23 10:00:38
2336010016,145,478,2020/02/23 10:00:38
2336020012,538,798,2020/02/23 10:00:38
2336030018,90,468,2020/02/23 10:00:38
2336040014,134,438,2020/02/23 10:00:38
2336050010,342,466,2020/02/23 10:00:38
2336060016,22,164,2020/02/23 10:00:38
2336070012,0,386,2020/02/23 10:00:38
2336080018,0,146,2020/02/23 10:00:38
2336090014,0,516,2020/02/23 10:00:38
2336100015,0,440,2020/02/23 10:00:38
2336110011,286,602,2020/02/23 10:00:38
2336120017,116,590,2020/02/23 10:00:38
2336130013,176,632,2020/02/23 10:00:38
2336140019,340,644,2020/02/23 10:00:38
2336150015,110,672,2020/02/23 10:00:38
2336160011,138,590,2020/02/23 10:00:38
2336170017,186,440,2020/02/23 10:00:38
2336180013,228,646,2020/02/23 10:00:38
2336190019,604,754,2020/02/23 10:00:38
2336200010,78,562,2020/02/23 10:00:38
2336210025,1109,756,2020/02/23 10:00:38
2336210034,1094,908,2020/02/23 10:00:38
2337010010,528,663,2020/02/23 10:00:38
2337010029,456,650,2020/02/23 10:00:38
2337020016,174,464,2020/02/23 10:00:38
2337030012,412,370,2020/02/23 10:00:38
2337040018,820,728,2020/02/23 10:00:38
2337050014,72,536,2020/02/23 10:00:38
2337060010,704,640,2020/02/23 10:00:38
2337070016,1188,780,2020/02/23 10:00:38
2337080012,768,633,2020/02/23 10:00:38
2337090018,452,536,2020/02/23 10:00:38
2337100019,288,516,2020/02/23 10:00:38
2337110015,350,552,2020/02/23 10:00:38
2337120020,238,596,2020/02/23 10:00:38
2337130017,377,659,2020/02/23 10:00:38
2337140013,780,778,2020/02/23 10:00:38
2337150019,104,458,2020/02/23 10:00:38
2337160015,286,484,2020/02/23 10:00:38
2337170011,70,466,2020/02/23 10:00:38
