醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,412,213,2020/02/11 16:00:39
0291010010,4,44,2020/02/11 16:00:39
2331170017,200,50,2020/02/11 16:00:39
2331190019,200,50,2020/02/11 16:00:39
2331200010,0,18,2020/02/11 16:00:39
2331240014,0,180,2020/02/11 16:00:39
2331260016,0,76,2020/02/11 16:00:39
2331290014,0,24,2020/02/11 16:00:39
2333070010,0,40,2020/02/11 16:00:39
2333120015,1,142,2020/02/11 16:00:39
2333140017,189,102,2020/02/11 16:00:39
2334110013,2,134,2020/02/11 16:00:39
2335110017,10,66,2020/02/11 16:00:39
2335150011,0,2,2020/02/11 16:00:39
2335170013,0,82,2020/02/11 16:00:39
2335180019,194,176,2020/02/11 16:00:39
2336210034,10,40,2020/02/11 16:00:39
2338070010,0,78,2020/02/11 16:00:39
2338120015,2,82,2020/02/11 16:00:39
2340170016,0,52,2020/02/11 16:00:39
2341140012,400,100,2020/02/11 16:00:39
2341250013,0,170,2020/02/11 16:00:39
2341300018,28,214,2020/02/11 16:00:39
2342130010,14,188,2020/02/11 16:00:39
2342180010,0,16,2020/02/11 16:00:39
2342250017,608,200,2020/02/11 16:00:39
2342260013,748,226,2020/02/11 16:00:39
2342270019,408,100,2020/02/11 16:00:39
2343240015,24,90,2020/02/11 16:00:39
2343260017,768,242,2020/02/11 16:00:39
2343270013,1123,317,2020/02/11 16:00:39
2343280019,4,104,2020/02/11 16:00:39
2343290015,788,236,2020/02/11 16:00:39
2343300016,812,246,2020/02/11 16:00:39
2343320018,776,238,2020/02/11 16:00:39
2343330014,584,186,2020/02/11 16:00:39
2344011036,124,172,2020/02/11 16:00:39
2344030013,26,80,2020/02/11 16:00:39
2344030022,370,184,2020/02/11 16:00:39
2344030031,424,196,2020/02/11 16:00:39
2344050015,170,240,2020/02/11 16:00:39
2344050024,688,258,2020/02/11 16:00:39
2344060011,2,162,2020/02/11 16:00:39
2345100014,1,106,2020/02/11 16:00:39
2345120016,127,161,2020/02/11 16:00:39
2345130012,94,101,2020/02/11 16:00:39
2346050013,12,80,2020/02/11 16:00:39
2346070015,9,144,2020/02/11 16:00:39
2346110014,6,123,2020/02/11 16:00:39
2346120010,389,146,2020/02/11 16:00:39
2346130016,0,74,2020/02/11 16:00:39
2346140012,650,232,2020/02/11 16:00:39
2346150018,604,186,2020/02/11 16:00:39
2346160014,764,252,2020/02/11 16:00:39
2390040518,0,14,2020/02/11 16:00:39
2390050032,0,50,2020/02/11 16:00:39
2391020010,394,188,2020/02/11 16:00:39
2391030016,966,268,2020/02/11 16:00:39
2391030026,913,278,2020/02/11 16:00:39
2391040012,718,266,2020/02/11 16:00:39
5901010058,0,60,2020/02/11 16:00:39
5901010076,0,5,2020/02/11 16:00:39
5901010085,0,24,2020/02/11 16:00:39
5901010094,19,58,2020/02/11 16:00:39
5901010165,0,58,2020/02/11 16:00:39
5901010174,3,57,2020/02/11 16:00:39
5901010192,0,24,2020/02/11 16:00:39
5901010272,0,74,2020/02/11 16:00:39
5901010290,0,52,2020/02/11 16:00:39
5901010496,0,62,2020/02/11 16:00:39
5901010576,0,26,2020/02/11 16:00:39
5901011662,50,134,2020/02/11 16:00:39
5901011699,6,78,2020/02/11 16:00:39
5901011733,18,98,2020/02/11 16:00:39
5901011751,0,2,2020/02/11 16:00:39
5901011760,0,118,2020/02/11 16:00:39
5901011975,0,40,2020/02/11 16:00:39
5901012203,8,64,2020/02/11 16:00:39
5901012383,0,120,2020/02/11 16:00:39
5901012409,24,32,2020/02/11 16:00:39
5901012454,0,78,2020/02/11 16:00:39
5901012490,0,51,2020/02/11 16:00:39
5901012507,4,30,2020/02/11 16:00:39
5901012516,0,68,2020/02/11 16:00:39
5901012561,0,72,2020/02/11 16:00:39
5901012570,0,42,2020/02/11 16:00:39
5901012598,6,35,2020/02/11 16:00:39
5901012632,0,75,2020/02/11 16:00:39
5901012650,8,78,2020/02/11 16:00:39
5901012669,0,148,2020/02/11 16:00:39
5901012712,0,20,2020/02/11 16:00:39
5901012749,94,98,2020/02/11 16:00:39
5901012758,34,78,2020/02/11 16:00:39
5901012767,2,42,2020/02/11 16:00:39
5901012918,0,18,2020/02/11 16:00:39
5901013004,0,100,2020/02/11 16:00:39
5901013095,206,66,2020/02/11 16:00:39
5901013120,15,55,2020/02/11 16:00:39
5901013139,0,55,2020/02/11 16:00:39
5901013148,0,10,2020/02/11 16:00:39
5901013157,0,62,2020/02/11 16:00:39
5901013175,0,8,2020/02/11 16:00:39
5901013200,4,53,2020/02/11 16:00:39
5901013246,0,62,2020/02/11 16:00:39
5901013264,34,124,2020/02/11 16:00:39
5901013308,56,38,2020/02/11 16:00:39
5901013326,0,36,2020/02/11 16:00:39
5901013344,0,78,2020/02/11 16:00:39
5901013362,6,34,2020/02/11 16:00:39
5901013371,0,124,2020/02/11 16:00:39
5901013380,2,50,2020/02/11 16:00:39
5901013399,108,56,2020/02/11 16:00:39
5901013406,0,72,2020/02/11 16:00:39
