醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2032,1230,2020/02/24 14:00:38
0291010010,80,388,2020/02/24 14:00:38
2101010013,63,562,2020/02/24 14:00:38
2101020019,118,372,2020/02/24 14:00:38
2101090011,0,180,2020/02/24 14:00:38
2101100227,0,319,2020/02/24 14:00:38
2101110027,3,244,2020/02/24 14:00:38
2101120014,1,523,2020/02/24 14:00:38
2101150012,0,443,2020/02/24 14:00:38
2101161033,47,491,2020/02/24 14:00:38
2101170050,0,508,2020/02/24 14:00:38
2101180038,0,408,2020/02/24 14:00:38
2101191068,0,408,2020/02/24 14:00:38
2101200017,1,540,2020/02/24 14:00:38
2303240013,1100,858,2020/02/24 14:00:38
2311010010,577,859,2020/02/24 14:00:38
2311020016,238,785,2020/02/24 14:00:38
2311030012,862,950,2020/02/24 14:00:38
2311040018,304,906,2020/02/24 14:00:38
2311050014,830,924,2020/02/24 14:00:38
2311060010,190,300,2020/02/24 14:00:38
2311070016,811,1057,2020/02/24 14:00:38
2312010014,212,436,2020/02/24 14:00:38
2312041028,0,291,2020/02/24 14:00:38
2312050018,390,376,2020/02/24 14:00:38
2317020010,336,634,2020/02/24 14:00:38
2317040012,202,504,2020/02/24 14:00:38
2317050018,756,804,2020/02/24 14:00:38
2317060014,616,814,2020/02/24 14:00:38
2317070010,263,526,2020/02/24 14:00:38
2317080016,786,798,2020/02/24 14:00:38
2317081022,280,722,2020/02/24 14:00:38
2321010013,1026,900,2020/02/24 14:00:38
2321020019,358,750,2020/02/24 14:00:38
2321030015,1377,939,2020/02/24 14:00:38
2321040011,1435,987,2020/02/24 14:00:38
2321060013,406,711,2020/02/24 14:00:38
2321070019,666,753,2020/02/24 14:00:38
2322010017,1303,900,2020/02/24 14:00:38
2322020013,874,774,2020/02/24 14:00:38
2331070012,0,324,2020/02/24 14:00:38
2331080018,1,438,2020/02/24 14:00:38
2331090014,216,796,2020/02/24 14:00:38
2331100015,210,730,2020/02/24 14:00:38
2331120017,32,548,2020/02/24 14:00:38
2331160011,76,434,2020/02/24 14:00:38
2331170017,0,390,2020/02/24 14:00:38
2331180013,0,742,2020/02/24 14:00:38
2331190019,25,736,2020/02/24 14:00:38
2331200010,0,196,2020/02/24 14:00:38
2331210016,0,323,2020/02/24 14:00:38
2331220012,450,756,2020/02/24 14:00:38
2331230018,130,488,2020/02/24 14:00:38
2331240014,230,1136,2020/02/24 14:00:38
2331250010,638,944,2020/02/24 14:00:38
2331260016,74,760,2020/02/24 14:00:38
2331270012,0,666,2020/02/24 14:00:38
2331280018,0,733,2020/02/24 14:00:38
2331290014,64,540,2020/02/24 14:00:38
2332030012,400,576,2020/02/24 14:00:38
2332040018,288,588,2020/02/24 14:00:38
2332060010,400,764,2020/02/24 14:00:38
2332080012,14,395,2020/02/24 14:00:38
2332090018,144,504,2020/02/24 14:00:38
2332100019,120,456,2020/02/24 14:00:38
2332110015,206,326,2020/02/24 14:00:38
2332120011,608,846,2020/02/24 14:00:38
2332130017,502,476,2020/02/24 14:00:38
2333070010,86,348,2020/02/24 14:00:38
2333100013,1,260,2020/02/24 14:00:38
2333110019,42,740,2020/02/24 14:00:38
2333120015,163,793,2020/02/24 14:00:38
2333130011,930,708,2020/02/24 14:00:38
2333140017,1242,734,2020/02/24 14:00:38
2334010018,540,675,2020/02/24 14:00:38
2334020014,560,882,2020/02/24 14:00:38
2334030010,470,640,2020/02/24 14:00:38
2334040016,582,760,2020/02/24 14:00:38
2334050012,270,520,2020/02/24 14:00:38
2334060018,357,613,2020/02/24 14:00:38
2334070014,214,650,2020/02/24 14:00:38
2334081026,200,672,2020/02/24 14:00:38
2334090016,484,721,2020/02/24 14:00:38
2334100017,124,610,2020/02/24 14:00:38
2334110013,580,830,2020/02/24 14:00:38
2334120019,997,678,2020/02/24 14:00:38
2335010012,156,678,2020/02/24 14:00:38
2335020018,398,560,2020/02/24 14:00:38
2335030014,0,123,2020/02/24 14:00:38
2335040010,0,223,2020/02/24 14:00:38
2335060012,102,544,2020/02/24 14:00:38
2335070018,576,732,2020/02/24 14:00:38
2335080014,342,380,2020/02/24 14:00:38
2335090010,56,246,2020/02/24 14:00:38
2335100011,0,316,2020/02/24 14:00:38
2335110017,14,434,2020/02/24 14:00:38
2335120013,112,526,2020/02/24 14:00:38
2335130019,206,612,2020/02/24 14:00:38
2335140015,432,756,2020/02/24 14:00:38
2335150011,0,168,2020/02/24 14:00:38
2335160017,73,587,2020/02/24 14:00:38
2335170013,280,808,2020/02/24 14:00:38
2335180019,0,597,2020/02/24 14:00:38
2336010016,215,588,2020/02/24 14:00:38
2336020012,708,966,2020/02/24 14:00:38
2336030018,238,556,2020/02/24 14:00:38
2336040014,252,526,2020/02/24 14:00:38
2336050010,346,514,2020/02/24 14:00:38
2336060016,198,176,2020/02/24 14:00:38
2336070012,228,506,2020/02/24 14:00:38
