醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,512,253,2020/02/12 12:00:14
0291010010,4,56,2020/02/12 12:00:14
2331190019,200,50,2020/02/12 12:00:14
2331240014,10,220,2020/02/12 12:00:14
2331260016,0,102,2020/02/12 12:00:14
2331290014,0,48,2020/02/12 12:00:14
2333070010,0,48,2020/02/12 12:00:14
2333120015,0,164,2020/02/12 12:00:14
2333140017,275,102,2020/02/12 12:00:14
2334110013,117,174,2020/02/12 12:00:14
2335110017,6,86,2020/02/12 12:00:14
2335150011,0,2,2020/02/12 12:00:14
2335170013,34,120,2020/02/12 12:00:14
2335180019,66,162,2020/02/12 12:00:14
2336210034,122,84,2020/02/12 12:00:14
2338070010,200,128,2020/02/12 12:00:14
2338120015,2,106,2020/02/12 12:00:14
2340170016,54,96,2020/02/12 12:00:14
2341140012,400,100,2020/02/12 12:00:14
2341250013,68,212,2020/02/12 12:00:14
2341300018,84,242,2020/02/12 12:00:14
2342130010,2,216,2020/02/12 12:00:14
2342180010,2,38,2020/02/12 12:00:14
2342250017,762,246,2020/02/12 12:00:14
2342260013,894,268,2020/02/12 12:00:14
2342270019,588,146,2020/02/12 12:00:14
2343240015,58,116,2020/02/12 12:00:14
2343260017,936,276,2020/02/12 12:00:14
2343270013,1305,363,2020/02/12 12:00:14
2343280019,22,110,2020/02/12 12:00:14
2343290015,924,264,2020/02/12 12:00:14
2343300016,984,296,2020/02/12 12:00:14
2343320018,934,270,2020/02/12 12:00:14
2343330014,734,226,2020/02/12 12:00:14
2344011036,146,200,2020/02/12 12:00:14
2344030013,28,120,2020/02/12 12:00:14
2344030022,558,234,2020/02/12 12:00:14
2344030031,616,246,2020/02/12 12:00:14
2344050015,284,290,2020/02/12 12:00:14
2344050024,858,304,2020/02/12 12:00:14
2344060011,14,194,2020/02/12 12:00:14
2345100014,2,132,2020/02/12 12:00:14
2345110010,62,6,2020/02/12 12:00:14
2345120016,241,195,2020/02/12 12:00:14
2345130012,209,143,2020/02/12 12:00:14
2346050013,72,80,2020/02/12 12:00:14
2346070015,83,160,2020/02/12 12:00:14
2346110014,100,163,2020/02/12 12:00:14
2346120010,531,192,2020/02/12 12:00:14
2346130016,24,80,2020/02/12 12:00:14
2346140012,824,276,2020/02/12 12:00:14
2346150018,738,212,2020/02/12 12:00:14
2346160014,916,300,2020/02/12 12:00:14
2390040518,200,64,2020/02/12 12:00:14
2390050032,200,100,2020/02/12 12:00:14
2391020010,296,170,2020/02/12 12:00:14
2391030016,1149,318,2020/02/12 12:00:14
2391030026,1103,328,2020/02/12 12:00:14
2391040012,832,312,2020/02/12 12:00:14
5901010058,0,90,2020/02/12 12:00:14
5901010076,0,19,2020/02/12 12:00:14
5901010085,0,36,2020/02/12 12:00:14
5901010094,59,90,2020/02/12 12:00:14
5901010165,0,100,2020/02/12 12:00:14
5901010174,1,41,2020/02/12 12:00:14
5901010192,0,66,2020/02/12 12:00:14
5901010272,8,116,2020/02/12 12:00:14
5901010290,0,80,2020/02/12 12:00:14
5901010496,6,100,2020/02/12 12:00:14
5901010576,0,60,2020/02/12 12:00:14
5901011662,2,176,2020/02/12 12:00:14
5901011699,10,108,2020/02/12 12:00:14
5901011733,44,136,2020/02/12 12:00:14
5901011751,200,48,2020/02/12 12:00:14
5901011760,4,156,2020/02/12 12:00:14
5901011975,10,54,2020/02/12 12:00:14
5901012203,0,48,2020/02/12 12:00:14
5901012383,0,114,2020/02/12 12:00:14
5901012409,0,74,2020/02/12 12:00:14
5901012454,0,68,2020/02/12 12:00:14
5901012490,19,81,2020/02/12 12:00:14
5901012507,6,52,2020/02/12 12:00:14
5901012516,0,46,2020/02/12 12:00:14
5901012561,0,108,2020/02/12 12:00:14
5901012570,0,2,2020/02/12 12:00:14
5901012598,200,67,2020/02/12 12:00:14
5901012632,0,57,2020/02/12 12:00:14
5901012650,200,112,2020/02/12 12:00:14
5901012669,200,198,2020/02/12 12:00:14
5901012712,0,28,2020/02/12 12:00:14
5901012749,0,78,2020/02/12 12:00:14
5901012758,0,50,2020/02/12 12:00:14
5901012767,2,78,2020/02/12 12:00:14
5901012963,0,18,2020/02/12 12:00:14
5901013004,0,140,2020/02/12 12:00:14
5901013095,0,60,2020/02/12 12:00:14
5901013120,45,79,2020/02/12 12:00:14
5901013139,0,27,2020/02/12 12:00:14
5901013148,0,40,2020/02/12 12:00:14
5901013157,0,18,2020/02/12 12:00:14
5901013175,0,32,2020/02/12 12:00:14
5901013200,0,23,2020/02/12 12:00:14
5901013246,0,46,2020/02/12 12:00:14
5901013264,4,164,2020/02/12 12:00:14
5901013308,198,64,2020/02/12 12:00:14
5901013326,200,68,2020/02/12 12:00:14
5901013344,0,70,2020/02/12 12:00:14
5901013362,200,66,2020/02/12 12:00:14
5901013371,0,124,2020/02/12 12:00:14
5901013380,1,88,2020/02/12 12:00:14
5901013399,110,82,2020/02/12 12:00:14
5901013406,0,104,2020/02/12 12:00:14
5901013433,0,48,2020/02/12 12:00:14
5901013442,0,160,2020/02/12 12:00:14
5901013451,0,94,2020/02/12 12:00:14
5901013460,14,76,2020/02/12 12:00:14
5901013488,202,184,2020/02/12 12:00:14
5901013497,24,94,2020/02/12 12:00:14
5901013504,0,68,2020/02/12 12:00:14
5901013513,196,92,2020/02/12 12:00:14
5901013522,0,64,2020/02/12 12:00:14
5901020296,0,132,2020/02/12 12:00:14
5901020303,110,96,2020/02/12 12:00:14
5901020376,2,48,2020/02/12 12:00:14
5901020385,0,70,2020/02/12 12:00:14
5901020465,200,78,2020/02/12 12:00:14
5901020554,0,18,2020/02/12 12:00:14
5901020563,0,52,2020/02/12 12:00:14
5901020590,0,88,2020/02/12 12:00:14
5901020616,0,94,2020/02/12 12:00:14
5901020634,3,103,2020/02/12 12:00:14
5901020652,0,76,2020/02/12 12:00:14
5901020661,0,84,2020/02/12 12:00:14
5901020670,29,201,2020/02/12 12:00:14
5901020689,208,162,2020/02/12 12:00:14
5901020698,0,112,2020/02/12 12:00:14
5901020732,200,106,2020/02/12 12:00:14
5901020787,0,29,2020/02/12 12:00:14
5901020858,0,74,2020/02/12 12:00:14
5901020876,0,84,2020/02/12 12:00:14
5901020901,172,206,2020/02/12 12:00:14
5901021248,0,2,2020/02/12 12:00:14
5901021346,0,96,2020/02/12 12:00:14
5901021382,2,46,2020/02/12 12:00:14
5901021408,0,106,2020/02/12 12:00:14
5901022521,14,74,2020/02/12 12:00:14
5901022601,40,94,2020/02/12 12:00:14
5901022898,0,72,2020/02/12 12:00:14
5901023073,0,152,2020/02/12 12:00:14
5901023091,416,278,2020/02/12 12:00:14
5901023153,0,142,2020/02/12 12:00:14
5901023215,188,198,2020/02/12 12:00:14
5901023304,30,54,2020/02/12 12:00:14
5901023313,14,88,2020/02/12 12:00:14
5901023331,0,154,2020/02/12 12:00:14
5901023386,96,124,2020/02/12 12:00:14
5901023519,0,64,2020/02/12 12:00:14
5901023523,6,114,2020/02/12 12:00:14
