醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2457,1486,2020/02/26 12:00:38
0291010010,222,552,2020/02/26 12:00:38
2101010013,41,875,2020/02/26 12:00:38
2101020019,96,680,2020/02/26 12:00:38
2101090011,0,448,2020/02/26 12:00:38
2101100227,0,615,2020/02/26 12:00:38
2101110027,1,400,2020/02/26 12:00:38
2101120014,1,798,2020/02/26 12:00:38
2101150012,0,695,2020/02/26 12:00:38
2101161033,0,787,2020/02/26 12:00:38
2101170050,0,800,2020/02/26 12:00:38
2101180038,0,744,2020/02/26 12:00:38
2101191068,0,692,2020/02/26 12:00:38
2101200017,0,800,2020/02/26 12:00:38
2303240013,1136,762,2020/02/26 12:00:38
2311010010,660,1003,2020/02/26 12:00:38
2311020016,242,937,2020/02/26 12:00:38
2311030012,1066,1126,2020/02/26 12:00:38
2311040018,266,1062,2020/02/26 12:00:38
2311050014,1000,1074,2020/02/26 12:00:38
2311060010,2,380,2020/02/26 12:00:38
2311070016,761,1201,2020/02/26 12:00:38
2312010014,122,484,2020/02/26 12:00:38
2312041028,2,437,2020/02/26 12:00:38
2312050018,400,504,2020/02/26 12:00:38
2317020010,224,734,2020/02/26 12:00:38
2317040012,174,608,2020/02/26 12:00:38
2317050018,842,940,2020/02/26 12:00:38
2317060014,738,930,2020/02/26 12:00:38
2317070010,254,622,2020/02/26 12:00:38
2317080016,862,932,2020/02/26 12:00:38
2317081022,410,866,2020/02/26 12:00:38
2321010013,1434,1244,2020/02/26 12:00:38
2321020019,680,1066,2020/02/26 12:00:38
2321030015,1835,1268,2020/02/26 12:00:38
2321040011,1916,1341,2020/02/26 12:00:38
2321060013,809,1031,2020/02/26 12:00:38
2321070019,928,1109,2020/02/26 12:00:38
2322010017,1569,1092,2020/02/26 12:00:38
2322020013,976,926,2020/02/26 12:00:38
2331070012,12,563,2020/02/26 12:00:38
2331080018,1,670,2020/02/26 12:00:38
2331090014,226,892,2020/02/26 12:00:38
2331100015,156,809,2020/02/26 12:00:38
2331120017,0,800,2020/02/26 12:00:38
2331160011,68,466,2020/02/26 12:00:38
2331170017,72,638,2020/02/26 12:00:38
2331180013,0,994,2020/02/26 12:00:38
2331190019,119,996,2020/02/26 12:00:38
2331200010,0,359,2020/02/26 12:00:38
2331210016,0,427,2020/02/26 12:00:38
2331220012,644,1072,2020/02/26 12:00:38
2331230018,0,588,2020/02/26 12:00:38
2331240014,398,1448,2020/02/26 12:00:38
2331250010,1094,1328,2020/02/26 12:00:38
2331260016,118,1056,2020/02/26 12:00:38
2331270012,4,962,2020/02/26 12:00:38
2331280018,218,1021,2020/02/26 12:00:38
2331290014,32,695,2020/02/26 12:00:38
2332030012,122,648,2020/02/26 12:00:38
2332040018,702,892,2020/02/26 12:00:38
2332060010,306,884,2020/02/26 12:00:38
2332080012,221,695,2020/02/26 12:00:38
2332090018,688,840,2020/02/26 12:00:38
2332100019,562,752,2020/02/26 12:00:38
2332110015,10,403,2020/02/26 12:00:38
2332120011,1108,1190,2020/02/26 12:00:38
2332130017,1064,792,2020/02/26 12:00:38
2333010014,400,200,2020/02/26 12:00:38
2333070010,0,548,2020/02/26 12:00:38
2333090012,400,200,2020/02/26 12:00:38
2333100013,0,408,2020/02/26 12:00:38
2333110019,16,996,2020/02/26 12:00:38
2333120015,359,1089,2020/02/26 12:00:38
2333130011,1190,900,2020/02/26 12:00:38
2333140017,1614,1002,2020/02/26 12:00:38
2334010018,494,775,2020/02/26 12:00:38
2334020014,464,1002,2020/02/26 12:00:38
2334030010,724,932,2020/02/26 12:00:38
2334040016,638,888,2020/02/26 12:00:38
2334050012,472,790,2020/02/26 12:00:38
2334060018,156,741,2020/02/26 12:00:38
2334070014,508,906,2020/02/26 12:00:38
2334081026,392,960,2020/02/26 12:00:38
2334090016,402,777,2020/02/26 12:00:38
2334100017,96,858,2020/02/26 12:00:38
2334110013,988,1114,2020/02/26 12:00:38
2334120019,1285,802,2020/02/26 12:00:38
2335010012,248,932,2020/02/26 12:00:38
2335020018,44,632,2020/02/26 12:00:38
2335030014,0,214,2020/02/26 12:00:38
2335040010,115,451,2020/02/26 12:00:38
2335050016,0,144,2020/02/26 12:00:38
2335060012,164,844,2020/02/26 12:00:38
2335070018,848,996,2020/02/26 12:00:38
2335080014,544,664,2020/02/26 12:00:38
2335090010,0,374,2020/02/26 12:00:38
2335100011,40,508,2020/02/26 12:00:38
2335110017,46,634,2020/02/26 12:00:38
2335120013,334,734,2020/02/26 12:00:38
2335130019,114,740,2020/02/26 12:00:38
2335140015,740,1096,2020/02/26 12:00:38
2335150011,0,339,2020/02/26 12:00:38
2335160017,71,787,2020/02/26 12:00:38
2335170013,603,1055,2020/02/26 12:00:38
2335180019,214,809,2020/02/26 12:00:38
2336010016,211,675,2020/02/26 12:00:38
2336020012,1166,1290,2020/02/26 12:00:38
2336030018,138,668,2020/02/26 12:00:38
2336040014,0,610,2020/02/26 12:00:38
2336050010,216,534,2020/02/26 12:00:38
2336060016,0,244,2020/02/26 12:00:38
2336070012,678,822,2020/02/26 12:00:38
2336080018,21,206,2020/02/26 12:00:38
2336090014,643,948,2020/02/26 12:00:38
2336100015,0,592,2020/02/26 12:00:38
2336110011,417,842,2020/02/26 12:00:38
2336120017,326,662,2020/02/26 12:00:38
2336130013,264,820,2020/02/26 12:00:38
2336140019,434,796,2020/02/26 12:00:38
2336150015,212,892,2020/02/26 12:00:38
2336160011,114,678,2020/02/26 12:00:38
2336170017,612,752,2020/02/26 12:00:38
2336180013,284,822,2020/02/26 12:00:38
2336190019,1002,1146,2020/02/26 12:00:38
2336200010,629,994,2020/02/26 12:00:38
2336210025,1710,1200,2020/02/26 12:00:38
2336210034,1518,1307,2020/02/26 12:00:38
2337010010,1044,1051,2020/02/26 12:00:38
2337010029,658,938,2020/02/26 12:00:38
2337020016,318,576,2020/02/26 12:00:38
2337030012,22,263,2020/02/26 12:00:38
2337040018,1210,1004,2020/02/26 12:00:38
2337050014,682,876,2020/02/26 12:00:38
2337060010,968,912,2020/02/26 12:00:38
2337070016,2066,1294,2020/02/26 12:00:38
2337080012,1443,1049,2020/02/26 12:00:38
2337090018,444,640,2020/02/26 12:00:38
2337100019,176,660,2020/02/26 12:00:38
2337110015,322,704,2020/02/26 12:00:38
2337120020,440,852,2020/02/26 12:00:38
2337130017,258,846,2020/02/26 12:00:38
2337140013,900,1070,2020/02/26 12:00:38
2337150019,156,638,2020/02/26 12:00:38
2337160015,698,888,2020/02/26 12:00:38
2337170011,366,658,2020/02/26 12:00:38
2337180017,258,732,2020/02/26 12:00:38
2337190013,640,886,2020/02/26 12:00:38
2337200014,2094,1328,2020/02/26 12:00:38
2337210010,546,771,2020/02/26 12:00:38
2337220016,552,832,2020/02/26 12:00:38
2337230012,2060,1190,2020/02/26 12:00:38
2337240018,844,1012,2020/02/26 12:00:38
2337250014,1634,1148,2020/02/26 12:00:38
2337260010,854,1056,2020/02/26 12:00:38
2338010014,6,521,2020/02/26 12:00:38
