醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2275,1370,2020/02/25 12:00:38
0291010010,182,488,2020/02/25 12:00:38
2101010013,67,726,2020/02/25 12:00:38
2101020019,80,512,2020/02/25 12:00:38
2101090011,0,312,2020/02/25 12:00:38
2101100227,0,447,2020/02/25 12:00:38
2101110027,23,312,2020/02/25 12:00:38
2101120014,1,666,2020/02/25 12:00:38
2101150012,4,575,2020/02/25 12:00:38
2101161033,0,639,2020/02/25 12:00:38
2101170050,0,644,2020/02/25 12:00:38
2101180038,0,584,2020/02/25 12:00:38
2101191068,0,552,2020/02/25 12:00:38
2101200017,4,648,2020/02/25 12:00:38
2303240013,1008,690,2020/02/25 12:00:38
2311010010,493,835,2020/02/25 12:00:38
2311020016,182,793,2020/02/25 12:00:38
2311030012,818,950,2020/02/25 12:00:38
2311040018,164,894,2020/02/25 12:00:38
2311050014,1178,1102,2020/02/25 12:00:38
2311060010,2,228,2020/02/25 12:00:38
2311070016,735,1041,2020/02/25 12:00:38
2312010014,428,600,2020/02/25 12:00:38
2312041028,14,395,2020/02/25 12:00:38
2312050018,0,236,2020/02/25 12:00:38
2317020010,190,582,2020/02/25 12:00:38
2317040012,114,476,2020/02/25 12:00:38
2317050018,690,792,2020/02/25 12:00:38
2317060014,554,762,2020/02/25 12:00:38
2317070010,179,502,2020/02/25 12:00:38
2317080016,724,782,2020/02/25 12:00:38
2317081022,218,702,2020/02/25 12:00:38
2321010013,1202,1076,2020/02/25 12:00:38
2321020019,510,894,2020/02/25 12:00:38
2321030015,1597,1103,2020/02/25 12:00:38
2321040011,1653,1157,2020/02/25 12:00:38
2321060013,608,867,2020/02/25 12:00:38
2321070019,782,921,2020/02/25 12:00:38
2322010017,1255,900,2020/02/25 12:00:38
2322020013,782,754,2020/02/25 12:00:38
2331070012,38,446,2020/02/25 12:00:38
2331080018,1,562,2020/02/25 12:00:38
2331090014,160,780,2020/02/25 12:00:38
2331100015,70,674,2020/02/25 12:00:38
2331120017,2,688,2020/02/25 12:00:38
2331150015,84,68,2020/02/25 12:00:38
2331160011,0,402,2020/02/25 12:00:38
2331170017,0,502,2020/02/25 12:00:38
2331180013,4,898,2020/02/25 12:00:38
2331190019,51,856,2020/02/25 12:00:38
2331200010,2,276,2020/02/25 12:00:38
2331210016,0,303,2020/02/25 12:00:38
2331220012,498,896,2020/02/25 12:00:38
2331230018,0,436,2020/02/25 12:00:38
2331240014,308,1288,2020/02/25 12:00:38
2331250010,890,1132,2020/02/25 12:00:38
2331260016,66,896,2020/02/25 12:00:38
2331270012,10,802,2020/02/25 12:00:38
2331280018,74,881,2020/02/25 12:00:38
2331290014,60,606,2020/02/25 12:00:38
2332030012,162,556,2020/02/25 12:00:38
2332040018,680,788,2020/02/25 12:00:38
2332060010,186,696,2020/02/25 12:00:38
2332080012,150,551,2020/02/25 12:00:38
2332090018,532,700,2020/02/25 12:00:38
2332100019,436,632,2020/02/25 12:00:38
2332110015,36,270,2020/02/25 12:00:38
2332120011,1008,1046,2020/02/25 12:00:38
2332130017,896,676,2020/02/25 12:00:38
2333070010,28,440,2020/02/25 12:00:38
2333100013,0,312,2020/02/25 12:00:38
2333110019,24,876,2020/02/25 12:00:38
2333120015,257,973,2020/02/25 12:00:38
2333130011,1046,820,2020/02/25 12:00:38
2333140017,1440,862,2020/02/25 12:00:38
2334010018,314,615,2020/02/25 12:00:38
2334020014,314,834,2020/02/25 12:00:38
2334030010,598,796,2020/02/25 12:00:38
2334040016,470,720,2020/02/25 12:00:38
2334050012,56,494,2020/02/25 12:00:38
2334060018,155,577,2020/02/25 12:00:38
2334070014,372,774,2020/02/25 12:00:38
2334081026,320,816,2020/02/25 12:00:38
2334090016,328,645,2020/02/25 12:00:38
2334100017,220,734,2020/02/25 12:00:38
2334110013,736,954,2020/02/25 12:00:38
2334120019,1157,762,2020/02/25 12:00:38
2335010012,200,814,2020/02/25 12:00:38
2335020018,34,504,2020/02/25 12:00:38
2335030014,0,127,2020/02/25 12:00:38
