醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,2711,1636,2020/02/27 12:00:38
0291010010,214,544,2020/02/27 12:00:38
2101010013,34,963,2020/02/27 12:00:38
2101020019,70,732,2020/02/27 12:00:38
2101090011,0,512,2020/02/27 12:00:38
2101100227,0,699,2020/02/27 12:00:38
2101110027,2,411,2020/02/27 12:00:38
2101120014,3,842,2020/02/27 12:00:38
2101150012,8,771,2020/02/27 12:00:38
2101161033,0,894,2020/02/27 12:00:38
2101170050,0,904,2020/02/27 12:00:38
2101180038,0,860,2020/02/27 12:00:38
2101191068,0,720,2020/02/27 12:00:38
2101200017,0,880,2020/02/27 12:00:38
2303240013,1324,946,2020/02/27 12:00:38
2311010010,835,1179,2020/02/27 12:00:38
2311020016,300,1089,2020/02/27 12:00:38
2311030012,1246,1286,2020/02/27 12:00:38
2311040018,378,1234,2020/02/27 12:00:38
2311050014,1208,1262,2020/02/27 12:00:38
2311060010,0,560,2020/02/27 12:00:38
2311070016,883,1358,2020/02/27 12:00:38
2312010014,516,764,2020/02/27 12:00:38
2312041028,0,433,2020/02/27 12:00:38
2312050018,400,604,2020/02/27 12:00:38
2317020010,272,866,2020/02/27 12:00:38
2317040012,304,768,2020/02/27 12:00:38
2317050018,1036,1108,2020/02/27 12:00:38
2317060014,928,1066,2020/02/27 12:00:38
2317070010,398,770,2020/02/27 12:00:38
2317080016,1082,1092,2020/02/27 12:00:38
2317081022,616,1014,2020/02/27 12:00:38
2321010013,1596,1328,2020/02/27 12:00:38
2321020019,758,1166,2020/02/27 12:00:38
2321030015,2044,1388,2020/02/27 12:00:38
2321040011,2246,1521,2020/02/27 12:00:38
2321060013,976,1179,2020/02/27 12:00:38
2321070019,1088,1233,2020/02/27 12:00:38
2322010017,1889,1260,2020/02/27 12:00:38
2322020013,1182,1076,2020/02/27 12:00:38
2331070012,1,627,2020/02/27 12:00:38
2331080018,1,722,2020/02/27 12:00:38
2331090014,316,1044,2020/02/27 12:00:38
2331100015,158,937,2020/02/27 12:00:38
2331120017,0,884,2020/02/27 12:00:38
2331150015,0,46,2020/02/27 12:00:38
2331160011,0,580,2020/02/27 12:00:38
2331170017,48,612,2020/02/27 12:00:38
2331180013,10,1046,2020/02/27 12:00:38
2331190019,31,1028,2020/02/27 12:00:38
2331200010,0,350,2020/02/27 12:00:38
2331210016,0,571,2020/02/27 12:00:38
2331220012,598,1164,2020/02/27 12:00:38
2331230018,2,720,2020/02/27 12:00:38
2331240014,384,1600,2020/02/27 12:00:38
2331250010,1220,1476,2020/02/27 12:00:38
2331260016,56,1168,2020/02/27 12:00:38
2331270012,0,1074,2020/02/27 12:00:38
2331280018,284,1113,2020/02/27 12:00:38
2331290014,18,775,2020/02/27 12:00:38
2332030012,130,772,2020/02/27 12:00:38
2332040018,710,948,2020/02/27 12:00:38
2332060010,454,1004,2020/02/27 12:00:38
2332080012,129,799,2020/02/27 12:00:38
2332090018,854,980,2020/02/27 12:00:38
2332100019,702,884,2020/02/27 12:00:38
2332110015,0,555,2020/02/27 12:00:38
2332120011,1214,1286,2020/02/27 12:00:38
2332130017,1238,952,2020/02/27 12:00:38
2333010014,798,396,2020/02/27 12:00:38
2333030016,109,72,2020/02/27 12:00:38
2333060014,0,48,2020/02/27 12:00:38
2333070010,0,580,2020/02/27 12:00:38
2333080016,400,200,2020/02/27 12:00:38
2333090012,400,200,2020/02/27 12:00:38
2333100013,0,303,2020/02/27 12:00:38
2333110019,0,1072,2020/02/27 12:00:38
2333120015,403,1149,2020/02/27 12:00:38
2333130011,1252,940,2020/02/27 12:00:38
2333140017,1744,1126,2020/02/27 12:00:38
2334010018,656,959,2020/02/27 12:00:38
2334020014,610,1174,2020/02/27 12:00:38
2334030010,918,1100,2020/02/27 12:00:38
2334040016,1244,1248,2020/02/27 12:00:38
2334050012,512,894,2020/02/27 12:00:38
2334060018,234,877,2020/02/27 12:00:38
2334070014,1016,1250,2020/02/27 12:00:38
2334081026,390,1052,2020/02/27 12:00:38
2334090016,488,857,2020/02/27 12:00:38
2334100017,0,946,2020/02/27 12:00:38
2334110013,1096,1222,2020/02/27 12:00:38
2334120019,1371,858,2020/02/27 12:00:38
2335010012,260,979,2020/02/27 12:00:38
2335020018,190,772,2020/02/27 12:00:38
2335030014,0,194,2020/02/27 12:00:38
2335040010,251,575,2020/02/27 12:00:38
2335050016,0,120,2020/02/27 12:00:38
2335060012,4,900,2020/02/27 12:00:38
2335070018,940,1136,2020/02/27 12:00:38
2335080014,282,724,2020/02/27 12:00:38
2335090010,104,550,2020/02/27 12:00:38
2335100011,0,552,2020/02/27 12:00:38
2335110017,16,650,2020/02/27 12:00:38
2335120013,304,842,2020/02/27 12:00:38
