sent,source,effective,expires,senderName,headline,description,instruction,web,alert_title,severity_level,alert_disease,areaDesc,areaDesc_EN,circle,ISO3166,areaDetail,ISO3166_2
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","拉脫維亞-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","拉脫維亞","Latvia","56.36,26.01","LV","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","列支敦斯登-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","列支敦斯登","Liechtenstein","47.16,9.54","LI","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","立陶宛-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","立陶宛","Lithuania","55.17,23.77","LT","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","盧森堡-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","盧森堡","Luxembourg","49.67,5.70","LU","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","馬爾他-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","馬爾他","Malta","35.89,14.44","MT","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","波蘭-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","波蘭","Poland","51.99,18.63","PL","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","葡萄牙-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","葡萄牙","Portugal","39.65,-7.95","PT","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","愛爾蘭共和國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","愛爾蘭共和國","Republic of Ireland","52.96,-8.26","IE","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","斯洛伐克-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","斯洛伐克","Slovakia","48.42,19.37","SK","",""
"2020-03-11T00:00:00+08:00","CDC","2020-03-11T00:00:00+08:00","2020-06-11T00:00:00+08:00","疾病管制署","斯洛維尼亞-嚴重特殊傳染性肺炎(第一級:注意(Watch))","捷克,愛沙尼亞,芬蘭,希臘,匈牙利,拉脫維亞,列支敦斯登,立陶宛,盧森堡,馬爾他,波蘭,葡萄牙,愛爾蘭共和國,斯洛伐克,斯洛維尼亞,泰國,英國-嚴重特殊傳染性肺炎(第一級:注意(Watch))","提醒遵守當地的一般預防措施","https://www.cdc.gov.tw/CountryEpidLevel/Index/NlUwZUNvckRWQ09CbDJkRVFjaExjUT09","國際間旅遊疫情建議","第一級:注意(Watch)","嚴重特殊傳染性肺炎","斯洛維尼亞","Slovenia","45.99,14.56","SI","",""
